"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
128.9947,-24.8531,"Acacia abrupta",2435729623,"W of Docker River (WA Border).","AUS",1000,2000,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
129.259637,-24.89025,"Acacia abrupta",4016996298,"Petermann Ranges 17km E of Docker River.","AUS",2000,1979,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
130.959622,-23.740239,"Acacia abrupta",4016989543,"15km NE of Mt Winter","AUS",2000,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
130.1763,-24.606916,"Acacia abrupta",4016899858,"11km SW of Lakes Neale-Amadeus Junction.","AUS",2000,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
119.352778,-26.01,"Acacia abrupta",2853813404,"41 km S of Doolgunna Homestead on the Diamond Well/Mooloogool Road","AUS",100,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
128.771667,-24.675833,"Acacia abrupta",2853734023,"Tjukurla Road, N of Great Central Highway, adjacent Walter James Range, E of Tjukurla Road","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
131.583333,-24.283333,"Acacia abrupta",2853833223,"1 km NNW of Reedy Rockhole","AUS",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
127.584666,-24.765265,"Acacia abrupta",2853908378,"2 km E of Lake Christopher","AUS",100,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.4392,-27.2906,"Acacia abrupta",2827593089,"Connie Sue Highway, S of Warburton. Near Sykes Bluff.","AUS",50,2000,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.25,-26.583333,"Acacia abrupta",2828121302,"E of Wiluna along Gunbarrel Hwy.","AUS",NA,1981,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
