"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
120.6764,-19.8386,"Acacia anaticeps",2436139269,"Turn - off to Wallal Downs and 80 mile beach.","AUS",1000,1997,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
123.259611,-18.923611,"Acacia anaticeps",4016989888,"Edgar Ranges.","AUS",2000,1976,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
120.683333,-19.816667,"Acacia anaticeps",2828564970,"80 Mile Beach turnoff.","AUS",1000,1986,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
125.531389,-21.866667,"Acacia anaticeps",2854411342,"10 km north of Wardabunnie [Wardabunni Rockhole], Canning Stock Route","AUS",3000,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.473544,-19.813209,"Acacia anaticeps",2853980404,"Mandora Marsh survey plot MAND16. Sand Dunes 14.4 km ESE from Eil Eil Spring, 29.1 km ESE from Great Northern Highway, 307 km ENE from Port Hedland. Mandora Marsh / Walyarta Conservation Park Area. Great Sandy Desert IBRA bioregion","AUS",100,2015,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.65,-19.78,"Acacia anaticeps",2828712769,"Close to 'Wallal Downs' Homestead.","AUS",1000,1970,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.2167,-17.95,"Acacia anaticeps",2438316631,"Great Northern Hwy, ca. 28 mls SW of 'Sandfire' roadhouse (between Port Hedland & Broome), NW West.Aust. [lat/long is for Broome].","AUS",NA,1974,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.169033,-19.229422,"Acacia anaticeps",2854392180,"C. 60 km along McLarty Track into Great Sandy Desert","AUS",100,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.02,-19.8,"Acacia anaticeps",2827542906,"Great Northern Highway, 225 miles [360 km] S of Broome.","AUS",1000,1967,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.633333,-19.85,"Acacia anaticeps",2829558227,"5km W of Wallal Downs Homestead.","AUS",1000,1986,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
123.726279,-18.890269,"Acacia anaticeps",4016901552,"Edgar Ranges, SE of Broome.","AUS",2000,1976,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
123.366667,-19.666667,"Acacia anaticeps",2854398126,"SE of Dragon Tree Soak, Great Sandy Desert","AUS",3000,1977,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
