"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
151.183333,-33.583333,"Acacia crassiuscula",2515267774,"3.2 km N of Cowan on Pacific Highway N.S.W.","AUS",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.672222,-34.181944,"Acacia crassiuscula",2830571444,"Approximately 300 m from summit to S on Granite Peak.","AUS",50,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.15,-33.866667,"Acacia crassiuscula",2829885726,"6mls [9.5 km] N of Hopetoun.","AUS",1000,1970,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.9,-35,"Acacia crassiuscula",2830700581,"South West Division. Spencer Park, Primary School, Perth.","AUS",1000,1969,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.883333,-33.95,"Acacia crassiuscula",2854375501,"Sandy slope leading up to the northern end of the Whoogarup Range, Fitzgerald Reserve","AUS",NA,1970,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.591965,-34.942753,"Acacia crassiuscula",2853964226,"2.7 km S of Centre Road / South West Highway, 40 m E of South West Highway,","AUS",NA,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.833333,-33.933333,"Acacia crassiuscula",2827602032,"Whoogarup Range, SW of Ravensthorpe.","AUS",1000,1965,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.815556,-33.851111,"Acacia crassiuscula",2829778399,"Lake Shaster Nature Reserve, northern firebreak.","AUS",50,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.316667,-34.2,"Acacia crassiuscula",2853794081,"Near Mount Maxwell","AUS",NA,1976,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.605,-33.77,"Acacia crassiuscula",2853971176,"On plateau above Hamersley River","AUS",3000,1965,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.4,-34.266667,"Acacia crassiuscula",2853912357,"Fitzgerald River National Park, Gairdner River Qualup","AUS",NA,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.193446,-33.907637,"Acacia crassiuscula",2854066915,"4 km along gravel road in proposed subdivision from entrance near Dunns Swamp, E of Ravensthorpe - Hopetoun Road,","AUS",100,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
18.899996,-34.165873,"Acacia crassiuscula",3456312459,"","ZAF",60,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
