"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
116.112778,-32.330556,"Acacia ephedroides",2827833058,"10 km W along Jarrahdale Road from Albany Highway towards Jarrahdale.","AUS",50,1997,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.689722,-32.298056,"Acacia ephedroides",2853824828,"15 miles NW [of] Hyden","AUS",3000,1964,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.133333,-32.149722,"Acacia ephedroides",2853975832,"Canning Dam (Darling Range)","AUS",3000,1971,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.499534,-31.984872,"Acacia ephedroides",2853697744,"Badjalling Nature Reserve; 10 km E Quairading","AUS",100,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.183679,-32.138945,"Acacia ephedroides",2853728326,"7.7 km E along Brookton Highway from junction of Canning Road","AUS",100,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.149722,-32.339722,"Acacia ephedroides",2853875482,"Approx. 5 miles E of Jarrahdale, ca 30 miles SSE of Perth","AUS",3000,1969,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.359444,-32.357222,"Acacia ephedroides",2853988323,"2.6 km N along western boundary (firebreak) of Bendering Nature Reserve 25681, in the northern section of Bendering Nature Reserve","AUS",NA,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.55,-31.865556,"Acacia ephedroides",2854028656,"8 miles S of Muntadgin","AUS",3000,1964,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.341755,-32.054446,"Acacia ephedroides",2854340976,"1.3 km N along the Bruce Rock - Narembeen Road from the intersection with Dayman Road","AUS",100,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.2667,-30.85,"Acacia ephedroides",2434629037,"Cullimbin Reserve, 9 miles E of Manmanning.","AUS",1000,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.5058,-31.7928,"Acacia ephedroides",2438082780,"Reserve Road, S of Tammin.","AUS",1000,1997,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.9014,-32.4578,"Acacia ephedroides",2435806155,"S of Lake King junction with Hyden Road.","AUS",1000,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.218712,-32.436281,"Acacia ephedroides",2854084447,"Just off side of Mountain Road, ca 3 km from junction with Solus Road, Mount Solus area,","AUS",100,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
