"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
145.52,-17.58,"Acacia leptostachya",2829694170,"9 km N of Mount Garnet - Milla-Milla Road Junction.","AUS",2000,1981,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.77,-21.78,"Acacia leptostachya",2828515506,"Belyando River, Gregory Highway, between Clermont and Charters Towers.","AUS",2000,1973,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
149.83,-22.85,"Acacia leptostachya",2827504035,"Mount Slopeaway, near Marlborough.","AUS",2000,1963,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.23,-22.97,"Acacia leptostachya",2827419805,"47 km from Aramac to Lake Galilee.","AUS",2000,1984,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.2861,-16.9436,"Acacia leptostachya",2828410645,"Hann Tableland National Park, high ridge above Boyle Creek, edge of gorge.","AUS",50,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
150.28,-23.07,"Acacia leptostachya",2829417790,"50 km (30.8 miles) by road NNW of Rockhampton towards Marlborough.","AUS",2000,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.35,-20.58,"Acacia leptostachya",1563226411,"8km W of Pentland; North Kennedy District, North Queensland.","AUS",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
144.7517,-17.3625,"Acacia leptostachya",2435564039,"Chillagoe to Mareeba.","AUS",1000,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
149.4706,-25.2106,"Acacia leptostachya",2435917684,"Gwambagwine, Ruined Castle Creek cathcment.","AUS",1000,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.85,-16.9,"Acacia leptostachya",2438542506,"Mount Mulligan a mesozoic sandstone mountain ca 40km NW of Dimbulah. The Pepper Pot.","AUS",1000,1985,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.5167,-21.3,"Acacia leptostachya",2437227415,"Developmental Road, from Clermont to Charters Towers, 48km NW of Belyando Petrol Station.","AUS",1000,1981,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.970833,-21.765833,"Acacia leptostachya",2437485532,"60.2 km by road N of Mazepa National Park.","AUS",1000,2010,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
149.15,-20.4833,"Acacia leptostachya",2437097518,"Shaw Island.","AUS",1000,1985,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.2275,-17.5128,"Acacia leptostachya",2434895873,"Mt Misery-Coolgara Road, S of Irvinebank. (55,311825,8062841) (7962-118628). (WGS84).","AUS",1000,2004,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.6344,-23.5731,"Acacia leptostachya",2435981930,"36 km E of Barcaldine towards Jericho on the Capricorn Highway.","AUS",1000,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.9942,-17.4192,"Acacia leptostachya",2438451647,"Petford to Chillagoe.","AUS",1000,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
150.6381,-23.1531,"Acacia leptostachya",2438805290,"Bondoola area, 10km SW of Yeppoon.","AUS",1000,2006,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.928056,-16.218611,"Acacia leptostachya",2435801284,"Mount Windsor Tableland, Mount Windsor National Park, western side.","AUS",1000,2013,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.5,-14.7667,"Acacia leptostachya",2438757262,"S of Musgrave. [Lat and long are for Musgrave.]","AUS",NA,1977,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
149.1814,-25.3094,"Acacia leptostachya",2436856928,"Starckvale Creek, Expedition National Park.","AUS",1000,1995,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.2,-17.366667,"Acacia leptostachya",2827151537,"Herberton to Petford road, ca 1 km E of the junction with Stannary Hills road.","AUS",1600,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.323333,-18.353333,"Acacia leptostachya",2827156177,"Before entrance gate to Princess Hill section of Lumholtz National Park.","AUS",100,1999,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.733333,-18.016667,"Acacia leptostachya",2827655231,"About 28 km by road N of the Gulf Development Road on the road parallel to and E of the Gilbert River.","AUS",1600,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.55,-15.666667,"Acacia leptostachya",2827229507,"46.2 km by road WNW of Lakeland Downs towards Laura.","AUS",1000,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.483333,-15.616667,"Acacia leptostachya",2827297349,"Cattle Creek, 9 km S of Laura.","AUS",1600,1978,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
