"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
132.43,-13.42,"Acacia linarioides",2827845119,"Above U.D.P [Gunlom] Falls.","AUS",2000,1973,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.43759,-14.27126,"Acacia linarioides",1633088085,"Nitmiluk.","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.58301,-14.25991,"Acacia linarioides",1633094420,"Nitmiluk.","AUS",3,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.143056,-12.625556,"Acacia linarioides",1633155702,"Korlobidahda survey. Euc. phoenicea woodland with annual grasses; on sand with outcropping sandstone boulders. DB26.","AUS",20,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.50118,-13.51858,"Acacia linarioides",1633478215,"","AUS",NA,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.4589,-13.5169,"Acacia linarioides",2437962754,"Plumtree Creek near Gumlon - Kakadu [NP].","AUS",1000,1995,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
136.635547,-13.665451,"Acacia linarioides",1633467417,"central N of island","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.643081,-13.292259,"Acacia linarioides",1633272862,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.542828,-12.856907,"Acacia linarioides",4017052993,"C. 90 miles S of Maningrida.","AUS",2000,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
133.042824,-13.056916,"Acacia linarioides",4016975288,"C. 2.5 miles SW of Mt Gilruth.","AUS",2000,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
132.942826,-13.056916,"Acacia linarioides",4017028491,"C. 9.5 miles SW of Mt Gilruth.","AUS",2000,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
132.95,-12.966667,"Acacia linarioides",2827880748,"16 km SE of Koongarra. Site 90.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.659513,-13.456915,"Acacia linarioides",4016982118,"Kakadu National Park, Upper Koolpin Creek.","AUS",2000,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
136.186111,-13.766667,"Acacia linarioides",2853983033,"Bickerton Island","AUS",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.43,-12.33,"Acacia linarioides",2828653460,"Q33; c. 26 miles (42 km) E of Oenpelli Mission.","AUS",2000,1973,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
134.192815,-12.80691,"Acacia linarioides",4017029794,"Ca. 13 km ESE of Mann River Gorge on Tributary.","AUS",2000,1987,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
132.133333,-13.016667,"Acacia linarioides",2829120761,"Deaf Adder Gorge. Northern Plateau. Kakadu National Park.","AUS",1000,1984,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
136.633112,-13.667501,"Acacia linarioides",1633467532,"central W side of island","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.39425,-12.8427,"Acacia linarioides",1633449871,"","AUS",NA,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.13124,-13.4925,"Acacia linarioides",1633543763,"","AUS",NA,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.588007,-13.876271,"Acacia linarioides",1633157262,"Groote Eylandt, Veg Site GE49, approx 22km NE Angurugu, open sandstone plateau with Calytrix brownii, Melaleuca nervosa, Mel viridiflora and small ephemeral stream.","AUS",20,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.004722,-12.750556,"Acacia linarioides",1633155858,"Korlobidahda survey. Shrubland with Sorghum on skeletal sand on flat, broken sandstone. DB14.","AUS",20,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.30118,-13.51859,"Acacia linarioides",1633479102,"","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.131767,-13.500768,"Acacia linarioides",2853858646,"Kakadu National Park between Mary River Ranger Station and El Sharana","AUS",30,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.837667,-12.439222,"Acacia linarioides",2826666489,"Darwin Botanic Gardens, corner of Salonika Street & Gilruth Avenue.","AUS",10,2014,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
136.41077,-13.8395,"Acacia linarioides",2826647050,"Groote Eylandt, just N of Dugong Resort","AUS",10,2019,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
