"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
150.57,-32.33,"Acacia piligera",2829697522,"Sandy Hollow, Hunter Valley.","AUS",1000,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
150.7281,-32.0242,"Acacia piligera",2829150747,"On the Scone-Bunnan Road, 5.1 km E of Bunnan-Muswellbrook Road junction with the Scone-Bunnan Road.","AUS",50,1993,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
150.0417,-32.3083,"Acacia piligera",2829555221,"Lees Pinch, SW of Merriwa.","AUS",NA,1983,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
150.598695,-32.141535,"Acacia piligera",4017993470,"locality withheld","AUS",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.651148,-32.348425,"Acacia piligera",1451546702,"locality withheld","AUS",1000,1977,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
150.173669,-32.426117,"Acacia piligera",1073740483,"locality withheld","AUS",10,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.451149,-32.181761,"Acacia piligera",1451441891,"locality withheld","AUS",1000,1969,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
150.238356,-32.570259,"Acacia piligera",1074046289,"locality withheld","AUS",10,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.783796,-31.938024,"Acacia piligera",1073187134,"locality withheld","AUS",100,1970,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.667814,-32.348425,"Acacia piligera",1451497983,"locality withheld","AUS",1667,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
