"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
120.776466,-31.073707,"Acacia resinosa",4016904337,"41.1km SW of Coolgardie on Great Eastern Highway.","AUS",2000,1970,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
118.3,-32.716667,"Acacia resinosa",2830288725,"16 km SE of Kulin towards Lake Grace.","AUS",3000,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.200833,-29.368889,"Acacia resinosa",2829464517,"25 km due SE of Morawa, Bowgada East Road, 2.5 km W of Sharpe Road.","AUS",50,1989,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.75,-31.28,"Acacia resinosa",2828770208,"32.4 km E of Ghooli.","AUS",NA,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.085,-29.475,"Acacia resinosa",2830039609,"Site 6, near Garden Bore, Diemels Station, about 100 km N of Bullfinch.","AUS",50,2001,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.973889,-29.8625,"Acacia resinosa",2827794662,"3 km SE along road adjacent to State Barrier fence, E of Great Norther Highway, 130 km S of Payne's Find.","AUS",50,1986,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.466667,-32.466667,"Acacia resinosa",2828526939,"Vermin Proof Fence No. 1, 5km due SE of Emu Rock, E of Hyden.","AUS",1000,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.65,-30.15,"Acacia resinosa",2515268830,"Dalwallinu, 9 miles N. of","AUS",NA,1970,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.7,-30.816667,"Acacia resinosa",2853712115,"3.6 km NNW of Wongan Hills - Ballidu road on Craig Road. Turnoff 4.3 km N of Wongan Hills","AUS",3000,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.299722,-29.666667,"Acacia resinosa",2853663151,"Pigeon Rocks, Diemals","AUS",3000,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.020933,-29.518,"Acacia resinosa",2853784218,"Opportunistic collection 70 E of quadrat WSWA W1 between 7 Mile well and Granite Well, 10 m S of track. Charles Darwin Reserve (formerly White Wells Station) which is on Wanarra East Road, NE of Wubin and E of Perenjori in the Shire of Dalwallinu","AUS",100,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.15,-32.883333,"Acacia resinosa",2853668577,"Peak Charles area","AUS",3000,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.238096,-28.708731,"Acacia resinosa",2853668977,"Burnerbinmah Station, NW of Paynes Find, Quadrat C NANG2, boundary of Nangel Paddock, 15.5 km NW of homestead, 20.2 km along track from road W of homestead,","AUS",100,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.972821,-31.075341,"Acacia resinosa",2854113508,"INV 360, Mt Monger Station","AUS",100,2014,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
