"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
139.14621,-35.20232,"Acacia rhetinocarpa",3765422349,"","AUS",50,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
137.84421,-34.55371,"Acacia rhetinocarpa",1084287963,"","AUS",50,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
138.80464,-35.39554,"Acacia rhetinocarpa",1084064019,"","AUS",50,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
139.24973,-35.18282,"Acacia rhetinocarpa",1084064746,"","AUS",50,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.62641,-33.8866,"Acacia rhetinocarpa",2518219178,"1026 (HA)","AUS",1000,1993,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
138.96516,-35.33476,"Acacia rhetinocarpa",1084064116,"","AUS",50,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
137.82388,-34.54833,"Acacia rhetinocarpa",1084288021,"","AUS",50,1980,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
139.12122,-35.16392,"Acacia rhetinocarpa",1084064033,"Monarto (CP)","AUS",50,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.494467,-33.506688,"Acacia rhetinocarpa",1084978104,"","AUS",500,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.8286,-33.42832,"Acacia rhetinocarpa",1084289272,"Hambidge (WA)","AUS",250,1967,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.666667,-33.833333,"Acacia rhetinocarpa",2830557032,"33 km SW of Cowell towards Arno Bay, 200 m S of turnoff Yabmana.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
136.533333,-33.833333,"Acacia rhetinocarpa",2830704390,"Lincoln Highway, 4.5 miles [7 km] N of Arno Bay, Hd. of Boothby.","AUS",2000,1965,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
139.25685,-35.12147,"Acacia rhetinocarpa",1084064792,"1557 (HA)","AUS",50,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
