"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
114.6333,-27.5,"Acacia sphenophylla",2438505968,"c. 10 km S of State Barrier Fence.","AUS",1000,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.666667,-27.416667,"Acacia sphenophylla",2853888821,"Near 413 mile peg, North West Coastal Highway [100 mile tank, 48 km N of Murchison River on North West Coastal Highway]","AUS",NA,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.621667,-28.636667,"Acacia sphenophylla",2853867518,"13.2 miles [21.2 km] SW of Nabawa","AUS",3000,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.691389,-27.708056,"Acacia sphenophylla",2853968374,"13 km N of Murchison River Bridge","AUS",3000,1979,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.349722,-27.57,"Acacia sphenophylla",2854063964,"Ca 20 km N of Junga Dam","AUS",3000,1968,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115,-28.333333,"Acacia sphenophylla",2854275676,"Yuna, 78 km NE of Geraldton","AUS",NA,1967,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.15,-27.7,"Acacia sphenophylla",2829838856,"Kalbarri National Park.","AUS",5,1973,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.65,-27.383333,"Acacia sphenophylla",2828218241,"41 miles [66 km] S of Wannoo Roadhouse.","AUS",4000,1967,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.3725,-27.7533,"Acacia sphenophylla",2438113932,"Kalbarri, c 19km E of town, Kalbarri National Park.","AUS",1000,1999,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.941148,-28.135417,"Acacia sphenophylla",2853633766,"Bella-Whelarra Road, 5.4 km N of intersection with Ogilvie Road","AUS",100,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.666667,-28.041667,"Acacia sphenophylla",2854371168,"Binnu West Road","AUS",3000,1976,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.516984,-28.268201,"Acacia sphenophylla",2853815298,"Rob Road, 11.5 km W of North West Coastal Highway","AUS",100,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.716667,-28.616667,"Acacia sphenophylla",2828841364,"Irwin. 13.2 miles [21.2 km] SW of Nabawa.","AUS",5000,1973,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
