"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
150.65,-33.87,"Acacia trinervata",2828856386,"'Charleyville', Wallacia - Bent's Pass road, c. 10 miles [16.1 km] south of Penrith.","AUS",2000,1960,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
150.517829,-33.49843,"Acacia trinervata",1451500232,"locality withheld","AUS",5,1976,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
150.71755,-33.667872,"Acacia trinervata",1451576511,"locality withheld","AUS",50,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
150.61987,-33.773337,"Acacia trinervata",1069636051,"locality withheld","AUS",300,2001,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.471203,-31.8472,"Acacia trinervata",2806057948,"locality withheld","AUS",100,2003,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.803004,-33.513185,"Acacia trinervata",2856013469,"locality withheld","AUS",100,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.720089,-33.945637,"Acacia trinervata",1452083708,"locality withheld","AUS",500,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.6875,-33.45,"Acacia trinervata",2436515779,"2.3 km along Mountain Lagoon fire trail from Comleroy Road.","AUS",1000,1988,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
150.569339,-33.510444,"Acacia trinervata",3881753262,"","AUS",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.94609,-33.60788,"Acacia trinervata",1451978833,"locality withheld","AUS",100,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.152241,-33.255861,"Acacia trinervata",1069640426,"locality withheld","AUS",1000,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.534492,-33.248429,"Acacia trinervata",1451610311,"locality withheld","AUS",1667,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
150.242342,-33.086952,"Acacia trinervata",1073027470,"locality withheld","AUS",100,1997,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.575839,-34.207252,"Acacia trinervata",1452202921,"locality withheld","AUS",300,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.866179,-33.472846,"Acacia trinervata",1073690514,"locality withheld","AUS",10,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.48946,-33.72441,"Acacia trinervata",1452381523,"locality withheld","AUS",100,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.36555,-33.57912,"Acacia trinervata",1452381406,"locality withheld","AUS",100,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.3175,-33.6868,"Acacia trinervata",1452381224,"locality withheld","AUS",100,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.220086,-33.553093,"Acacia trinervata",1452381487,"locality withheld","AUS",100,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.49855,-33.499019,"Acacia trinervata",1452381138,"locality withheld","AUS",100,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.15,-33.733333,"Acacia trinervata",2827125406,"1.5 km SW of Hawkesbury Lookout, on Yarramundi road","AUS",NA,1991,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
151.499663,-33.01779,"Acacia trinervata",1071676266,"locality withheld","AUS",10,2010,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.157105,-33.490756,"Acacia trinervata",3458351192,"locality withheld","AUS",600,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
149.989026,-33.087811,"Acacia trinervata",1916456210,"locality withheld","AUS",10,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.773944,-33.302351,"Acacia trinervata",1073258371,"locality withheld","AUS",10,2007,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.08877,-33.645419,"Acacia trinervata",1071525911,"locality withheld","AUS",100,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
150.402388,-32.70538,"Acacia trinervata",1073032164,"locality withheld","AUS",100,1998,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.090833,-35.111389,"Acacia trinervata",1838276208,"Nerriga","AUS",NA,1967,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
149.921586,-36.773251,"Acacia trinervata",1653406919,"","AUS",NA,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
150.716944,-34.226773,"Acacia trinervata",1452515939,"locality withheld","AUS",20,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.133333,-27.55,"Acacia trinervata",1937458708,"","AUS",1000,1978,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
150.405312,-22.583158,"Acacia trinervata",1937444605,"","AUS",5000,1972,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
152.853302,-27.520621,"Acacia trinervata",1937454316,"","AUS",1000,1975,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
152.99267,-26.859812,"Acacia trinervata",1937460846,"","AUS",1000,1978,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
