"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
13.83123,0.60133,"Adenostemma viscosum",4061267174,"Mwagna National Park and peripheric area, northeast of national park around the Mabekwe camp.","GAB",NA,2018,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-8.436667,7.69,"Adenostemma viscosum",1257766378,"Nimba Mountains, along restored road from Ziela to Nion.","GIN",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
45.258056,-22.712778,"Adenostemma viscosum",1258160921,"Rivière Andohanilakaka, 4 à 5 km à l'Est du pont d'Ilakaka. District d'Ihosy","MDG",NA,2015,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-159.65,22.1667,"Adenostemma viscosum",34801167,"Na Pali Coast, Kalalau Valley","USA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
15.08,-3.5,"Adenostemma viscosum",2618374874,"Flore du Congo. Tournée de Moutampa au bord du Congo. Ier marigot en quittant le village.","COG",NA,1965,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
-139.517,-8.9,"Adenostemma viscosum",1090301911,"Ua Huka; Hitikau summit","PYF",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-140.15,-8.86667,"Adenostemma viscosum",1090186517,"Toovii, vallon du reservoir","PYF",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-156.608,20.9417,"Adenostemma viscosum",34799035,"W Maui, Lahaina District, Puu Kukui Watershed, W side of Honolua Valley, S of Kekaalaau","USA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-154.85,19.5333,"Adenostemma viscosum",34797692,"ahupuaa of Halepuaa Forest Reserve in the Puna District of Hawaii","USA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
28.6185,-1.168,"Adenostemma viscosum",3478088780,"","COD",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
26.5296,-8.8679,"Adenostemma viscosum",3478150799,"","COD",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
-9.2837,8.375,"Adenostemma viscosum",3478150800,"","GIN",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
28.9911,1.8344,"Adenostemma viscosum",3476772890,"","COD",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
-9.4736,8.5387,"Adenostemma viscosum",3476771853,"","GIN",NA,1962,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
29.2663,-7.5655,"Adenostemma viscosum",3476774824,"","COD",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
25.1129,0.5628,"Adenostemma viscosum",3478158813,"","COD",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
-156.028,20.6818,"Adenostemma viscosum",2235887708,"East Maui, Hana District, Honolewa Stream","USA",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID"
10.55,0.783333,"Adenostemma viscosum",2517542550,"Crystal Mountains, 11500m on transect G.","GAB",NA,2001,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
25.716667,3.466667,"Adenostemma viscosum",2515811866,"Bambesa.","COD",NA,1956,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
9.68413,0.63099,"Adenostemma viscosum",2517811824,"Département de Noya, Parc Naional d'Akanda, No Ayong.","GAB",NA,2012,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
12.7,-0.833333,"Adenostemma viscosum",2516006859,"Source below Mission Catholique, Lastoursville.","GAB",NA,1988,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
12.816667,1.5,"Adenostemma viscosum",2515811867,"Minkébé area, 1320 m on transect B.","GAB",NA,1990,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
2.266667,8.783333,"Adenostemma viscosum",2517777556,"","BEN",NA,2000,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
9.933333,4.95,"Adenostemma viscosum",2517509561,"N'Kongsamba region.","CMR",NA,1957,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-13.562958,10.228575,"Adenostemma viscosum",1671689703,"Séguéa","GIN",NA,1956,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-12.297861,10.724558,"Adenostemma viscosum",1671689697,"Région de Dalaba. Fouta Djallon","GIN",NA,1954,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
100.37,-0.47,"Adenostemma viscosum",2640596053,"West Sumatra","IDN",NA,1991,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
49.20333,-17.93027,"Adenostemma viscosum",4031967298,"Low altitude rainforest, 3 km north-west of Fotsimavo, camp at Rendrirendry, Betampona RNI, Tamatave. Plant preserved in alcohol, collected with F. Ratovoson and F. Randriantafika.","MDG",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.1,-13.77,"Adenostemma viscosum",4031787664,"Ampasindava, forêt de Bongomihiravavy. A 1074 m du point côté 332, au 204°.","MDG",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
6.633333,0.283333,"Adenostemma viscosum",2515967569,"São Nicolau.","STP",NA,1980,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
98.833333,19.333333,"Adenostemma viscosum",2514642752,"Thailand, Province: Chiang Mai. District: Chiang Dao, Doi Chiang Dao Animal Sanctuary, north side of Doi Luang, above Sop Huay Pah Dahng-Huay Nah Lae Station.","THA",NA,1995,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
13.616667,3.2,"Adenostemma viscosum",2516007897,"3 km N. of Lomié.","CMR",NA,1965,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
13.666667,4.583333,"Adenostemma viscosum",2517752573,"Bertoua, near Catholic Mission.","CMR",NA,1960,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
38.666667,8.166667,"Adenostemma viscosum",2515714925,"c. 20km SE of Sheshamene.","ETH",NA,1964,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-10.646858,7.608251,"Adenostemma viscosum",4031930767,"Forêt Gola, près de Boaka Camp.","LBR",NA,2021,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
