"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-70.83333,-43.2,"Adesmia corymbosa",4032095502,"30 km al N por Ruta Nac. 49 en direcc. a Tecka.","ARG",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.052778,-36.818889,"Adesmia corymbosa",1258041849,"Lagunas de Epu-Lauquen.","ARG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.886325,-49.331494,"Adesmia corymbosa",4028680470,"","ARG",1856,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-72.894806,-50.95474,"Adesmia corymbosa",3455294675,"","CHL",100,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-69.734785,-35.214788,"Adesmia corymbosa",3124813247,"","ARG",61,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-72.79594,-50.31247,"Adesmia corymbosa",2270568251,"Lago Argentino. Puesto de Gendarmería, Lago Argentino, paraje Punta Bandera.","ARG",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-70.3,-37.43333,"Adesmia corymbosa",1259594974,"RP 6, 10 km al oeste de RP 40 camino a El Cholar","ARG",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-68.90416,-37.05694,"Adesmia corymbosa",1259483033,"Sierrasde Chachahuén, bajada del Co. de Ureta","ARG",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-65.99728,-47.67043,"Adesmia corymbosa",439061711,"","ARG",NA,1965,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-67.74994,-45.83478,"Adesmia corymbosa",438062359,"","ARG",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-70.253495,-33.35647,"Adesmia corymbosa",4014830675,"","CHL",200,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
