"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
35.08194,-5.08055,"Aeschynomene minutiflora",4060990413,"7km past Misughaa on Mwa Mtoro rd. Rolling hills, midslope, gray silty soil. Miombo woodland 8-10(-20)m dominated by Brachystegia spiciformis, also open woody layer at 3-6m with Terminalia, Combretum, Commiphora africana.","TZA",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
33.42,-11.67,"Aeschynomene minutiflora",912083722,"N.Mzimba Dist., 21 mi. S of Mzambazi.","MWI",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
29.3,-15.2,"Aeschynomene minutiflora",912083724,"C.Chakwenga Headwaters,100-129 km. East of Lusaka.","ZMB",NA,1965,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
32.08,-14.05,"Aeschynomene minutiflora",912083708,"E.St.Francis Hospital,Katete.","ZMB",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
35.3,-15.33,"Aeschynomene minutiflora",912083726,"S.Zomba District.Zoma plateau,near Williams Falls.","MWI",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
27.33,-16.52,"Aeschynomene minutiflora",912083762,"S.Mazabuka District.Namirongwe Hills.10 miles N. of Pemba.","ZMB",NA,1960,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
34.9,-8.183333,"Aeschynomene minutiflora",2517396044,"T7. Iringa District: 34 miles from Mafinga on Madibira road.","TZA",NA,1988,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
33.1475,-10.37583,"Aeschynomene minutiflora",4060863349,"Isoka District, ca. 84 km E-SE of intersection of Mpika-Nakonde Highway (Great North Hwy.) on road to (RD72). Connecting to Muyombe (M14), collections at turn out along roadside, in steep woodland and in valley bottoms with seasonal water. In Fungwe National Forest, # 429.","ZMB",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
30.166667,-12.566667,"Aeschynomene minutiflora",2517353029,"Kasanga National Park.","ZMB",NA,1992,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
31.5,-16.433333,"Aeschynomene minutiflora",2515407126,"Mzarabani Tribal Trust land Musingwa River, Mavuradonta Mt","ZWE",NA,1971,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
33.6,-14.916667,"Aeschynomene minutiflora",2515583228,"Moçambique, Tete: Macanga (Furancungo), Monte Furancungo, arredores do Marco Geodésico 34 (M.G.M.), 1933.","MOZ",NA,1966,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
