"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-75.66666,4.33333,"Aetanthus colombianus",4031455743,"La Linea. Estación Piscícola Navarco-Corporción Autónoma Regional del Quindío. Bosque de Niebla alto andino. Caracterizado por dominancia de Brunellia sp., Weinmannia sp., Drymis sp. y Miconia spp.","COL",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.73843,6.33483,"Aetanthus colombianus",3326597756,"Pie Desecho","COL",NA,2020,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-73.98,5.2,"Aetanthus colombianus",779870424,"Páramo de Cogua","COL",NA,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_NONE"
-76.716667,3.3,"Aetanthus colombianus",1260409251,"Los farallones. Cordillera occidental. Dpto. del Valle. Creciendo a lo largo de la trocha 2-3 km. al sur del alto de Buey","COL",NA,1977,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.852222,7.4475,"Aetanthus colombianus",1707537968,"Vereda El Carrizal, sector Sisavita, bosque arriba de la casa de Francisco Pulido","COL",NA,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-72.595833,7.223028,"Aetanthus colombianus",1836125941,"Vereda Tane","COL",NA,2014,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE"
-73.822222,4.541944,"Aetanthus colombianus",3468335942,"Entre Quebrada Blanca y la Finca de Alberto Florez","COL",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.916848,5.624254,"Aetanthus colombianus",1890901660,"Vía al llano, Laguna de Tota.","COL",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
-72.86553,7.00624,"Aetanthus colombianus",2005619750,"Vereda La Salina, trocha subiendo desde el campamento (7,0029722 / -72,873972) hacia el páramo (7,00716/-72,86063).","COL",NA,2018,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-72.8061,6.30417,"Aetanthus colombianus",1315040277,"Vereda Chaguaca.","COL",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-72.822667,5.712528,"Aetanthus colombianus",4026686454,"Vereda Vallados. Sendero Turístico, borde de camino.","COL",NA,2019,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-75.809083,5.640147,"Aetanthus colombianus",3759849835,"","COL",32,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-73.823101,4.478142,"Aetanthus colombianus",2813164773,"","COL",530,1989,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-72.68011,7.02515,"Aetanthus colombianus",931001392,"Alto entre Pamplona y Málaga","COL",1741,1977,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-76.033333,6.25,"Aetanthus colombianus",930995927,"Cerro San José","COL",5155,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-76.123625,6.496931,"Aetanthus colombianus",930995889,"Páramo Frontino. vertiente N. bajando hacia la planicie","COL",1265,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-75.9,7.166667,"Aetanthus colombianus",1261443141,"Alto de Sapa, montane oak forest, NW of Vega del Ingles, Paramillo National Park. Non-transect.","COL",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.886,6.994,"Aetanthus colombianus",2985976854,"Vereda La Salina, trocha subiendo desde el campamento (7,0029722 / -72,873972) hacia el páramo (7,00716 / -72,86063). Bosque altoandino relictual.","COL",NA,2018,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-75.91666,7.06666,"Aetanthus colombianus",1261855478,"Antioquia, Ituango, camino entre El Retiro y Cerro Paramillo.","COL",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
