"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-178.814,51.5646,"Agrostis mertensii",2848462554,"Kavalga Island, Aleutian Islands. Quad. Map Gareloi Island (B-3).","USA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-63.82,58.1,"Agrostis mertensii",2848493419,"Labrador. Junction of the North and South Hebron Rivers.","CAN",NA,1954,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-71.276528,44.283806,"Agrostis mertensii",1929265572,"White Mountain National Forest, 2.1 mi below summit of Mt. Washington along auto road.","USA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
21.790146,68.847983,"Agrostis mertensii",1601114756,"Doaresvuomus, Gaskkasjohka N","FIN",1000,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
20.80443,69.075915,"Agrostis mertensii",1601111929,"Pikku-Jehkats","FIN",1000,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.057313,68.886876,"Agrostis mertensii",1601102600,"Peerajärvi W","FIN",1000,1960,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.877486,66.646394,"Agrostis mertensii",1601108696,"OLKKAJÄRVI TAMMILAMMEN SE_","FIN",1000,1981,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.907729,67.686065,"Agrostis mertensii",1601108477,"KK OUNJ E-R MUTKA 500M ALA","FIN",1000,1977,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.117741,66.0854,"Agrostis mertensii",1601108444,"Simojärvi kultukka","FIN",1000,1974,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.251236,69.100515,"Agrostis mertensii",1601117808,"Guonjarjohka (Kuonjarjoki)","FIN",1000,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.567498,69.366087,"Agrostis mertensii",1601117534,"Sammuttijärvi, Jaakobinkaltio","FIN",1000,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.551209,68.528206,"Agrostis mertensii",2570682007,"Lavivaara SW","FIN",1000,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.417365,68.746155,"Agrostis mertensii",3909276716,"Iitto, Saukkokoski","FIN",1000,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.830817,68.607248,"Agrostis mertensii",1601111741,"Tarvantovaaran erämaa-alue","FIN",1000,1996,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.795215,67.708336,"Agrostis mertensii",1601102583,"Kitinen","FIN",5000,1960,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.847676,68.921673,"Agrostis mertensii",1601114662,"Aikoaigorsa SW","FIN",1000,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.579,69.201148,"Agrostis mertensii",1601111858,"Pumbovarren NE-puoleinen tasanne, purovarsi","FIN",1000,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.795481,67.957583,"Agrostis mertensii",1601102485,"Korvasen kyläaukea; TU, JP","FIN",5000,1959,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.925202,66.950699,"Agrostis mertensii",1601108428,"Mlk marrasj taapajv sillan","FIN",1000,1976,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.908912,68.484924,"Agrostis mertensii",1601117673,"Sallivaara SE","FIN",1000,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.52178,68.523524,"Agrostis mertensii",1601117801,"Ivalo. Palkisoja. Alajoen ja 4-tien molemmat puolet","FIN",1000,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.034007,69.53733,"Agrostis mertensii",1601117770,"Tsuoggajohka - Biret Ovllá luoppal","FIN",1000,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.752238,67.336012,"Agrostis mertensii",1988415186,"7472:446 Sodankylä, Iso Aittamaa, Niementie","FIN",1000,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.112518,69.851035,"Agrostis mertensii",1601108704,"","FIN",1000,1985,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.24608,64.902601,"Agrostis mertensii",1601111442,"","FIN",1000,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.502184,68.703959,"Agrostis mertensii",1601114919,"Bierfarajävri N","FIN",1000,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.460881,69.912998,"Agrostis mertensii",1601114819,"Juolgepeäljohka (Paktevarrin ja Ri njarvarrin välillä)","FIN",1000,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.104692,69.92831,"Agrostis mertensii",1601117916,"Buollánvárri","FIN",1000,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.094076,67.583832,"Agrostis mertensii",1601117954,"Velhon kodan lähdevaikutteinen lähiympäristö ja kodasta SW","FIN",1000,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.283764,69.786433,"Agrostis mertensii",3449286616,"YKJ square 7745:3472","FIN",1,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
23.66703,68.398932,"Agrostis mertensii",3449286749,"YKJ square 7594:3363","FIN",1,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.300202,66.304205,"Agrostis mertensii",1601108724,"","FIN",1000,1986,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.603611,66.461584,"Agrostis mertensii",1601111775,"Vanttausjärvi","FIN",1000,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.123455,69.676897,"Agrostis mertensii",1601114668,"Näätämö, rajavartioas. 1 km NE, Nuortijokivarsi + Puollimvarri E-rinne","FIN",1000,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.704582,69.205061,"Agrostis mertensii",1601111875,"Rámajávri E","FIN",1000,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.374045,66.754095,"Agrostis mertensii",1601108652,"Lankoj tiensuun talo e lan","FIN",1000,1980,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.104667,69.17653,"Agrostis mertensii",1601117620,"Goddevarri SW","FIN",1000,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.409992,69.267708,"Agrostis mertensii",1601117783,"Goapmavárri N","FIN",1000,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.9736,68.499671,"Agrostis mertensii",3449299612,"YKJ square 7607:3335","FIN",1,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.710281,68.499752,"Agrostis mertensii",1601108805,"","FIN",1000,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.022104,68.702117,"Agrostis mertensii",1601114777,"Darjjunjunni N","FIN",1000,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.524746,69.602414,"Agrostis mertensii",1601114685,"Sevettijärvi, Näätämöjoki, Kontinpaistamajärvi 2 km WNW","FIN",1000,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.513875,68.747761,"Agrostis mertensii",1988395800,"7629:480 Inari, NE corner of the km2 square, between a poor forest road and the SW shore of the 239.6 lake","FIN",1000,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.594518,68.389363,"Agrostis mertensii",3451068587,"Kuttura 6 km E, Köysivaarasta N, Kutturantien S-puolella","FIN",1000,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.789127,65.643963,"Agrostis mertensii",3711118362,"Syöte, Vattukuru noin 3,5 km Syötekylästä E, Vattukurusta S ja Hevoslehdonsuolta SW Hetesuolle laskevien purojen varret","FIN",1000,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.127958,68.102911,"Agrostis mertensii",1601108882,"","FIN",1000,1989,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.514366,68.057357,"Agrostis mertensii",1601111755,"Tepasto, Kurkkio, Ounasjoen NE-puoli","FIN",1000,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.447992,66.398337,"Agrostis mertensii",1601111834,"Tennilä","FIN",1000,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.728244,65.796735,"Agrostis mertensii",1601120837,"Latva-Kouva, L-Kouvan talo","FIN",1000,1976,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.404843,66.6154,"Agrostis mertensii",1601108418,"MLK SINETÄNS TIE N SUO+TIE","FIN",1000,1976,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.200173,69.19778,"Agrostis mertensii",1601117682,"Riimmajávri E","FIN",1000,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.547992,69.500892,"Agrostis mertensii",1601117727,"Kevonseinä ja Kevon alkuputous","FIN",1000,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.284611,69.115777,"Agrostis mertensii",1601117616,"Saarimaa 1 km E, Pyejdispushko","FIN",1000,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.207979,66.231157,"Agrostis mertensii",1601117957,"7350:599 Kuusamo, Säkkilä, western foot of Iso Kumpuvaara, along the road to the hill top","FIN",1000,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.500744,67.638792,"Agrostis mertensii",2849532059,"Koskenmaa W","FIN",1000,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.273136,67.025357,"Agrostis mertensii",3056728462,"7437:468 Sodankylä, Auvojärventie, a minor road in an uninhabited forest area","FIN",1000,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.095721,69.665186,"Agrostis mertensii",3449297830,"YKJ square 7733:3581","FIN",1,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.215832,67.224139,"Agrostis mertensii",1601108896,"","FIN",1000,1989,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.217116,68.259888,"Agrostis mertensii",1599783026,"Urho Kekkosen kansallispuisto, Lumikurunoja","FIN",1000,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.207053,67.863967,"Agrostis mertensii",1601111799,"Urho Kekkosen kansallispuisto, Nuorttijoen S - E -ranta Kärekeniemen kohdalla","FIN",5000,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.453289,68.900271,"Agrostis mertensii",1601114543,"Suppijoki-Buvrrásjohka","FIN",1000,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.583015,66.138154,"Agrostis mertensii",1601105649,"Voho korouoma ja tieltä","FIN",1000,1971,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.059506,68.512026,"Agrostis mertensii",1948431674,"Lutto, Kolmoskoski","FIN",1000,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
23.960199,68.639051,"Agrostis mertensii",1601111522,"Pöyrisjärven erämaa-alue, Pöyrisjoen itärannan jokitörmä ja tulvavalli n. 700-800 m matkalla, Tollakasvaaran SW-puolella","FIN",1000,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.379738,68.949076,"Agrostis mertensii",1601111754,"","FIN",1000,1997,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.126352,69.096274,"Agrostis mertensii",1601111742,"Kuonjarvarri","FIN",1000,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
20.62475,69.087319,"Agrostis mertensii",1601105508,"","FIN",1000,1963,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.81104,67.837294,"Agrostis mertensii",1601102721,"Sirkka. Akanjärvi ja Akanjärven ranta","FIN",5000,1961,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.76661,69.299871,"Agrostis mertensii",1601114867,"Toarrovaspakti","FIN",1000,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.940683,66.202015,"Agrostis mertensii",1601105664,"Putkivaaran kylä","FIN",1000,1972,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.807955,67.236205,"Agrostis mertensii",1601108596,"TUULIH MOULUSK E SUO+KANGA","FIN",1000,1977,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.395221,68.007401,"Agrostis mertensii",1988457299,"7547:558 Savukoski, E foot of Pieni Sorvusselkä, Pihtijoentie, a minor road in an uninhabited forest and bog area","FIN",1000,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
