"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-122.25,37.08,"Agrostis microphylla",1317240839,"Swanton, between CA 1 (Cabrillo Highway) and Swanton Road SE of Greyhound Rock and W and NW of Old Seaside School, approx 17 mi NW of Santa Cruz.","USA",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-122.685921,38.86323,"Agrostis microphylla",1930582002,"1.8 miles east of Loch Lomond.","USA",NA,1956,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-123.75,49.033333,"Agrostis microphylla",1988216829,"Vancouver Island, Yellow Point","CAN",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-123.318889,48.406944,"Agrostis microphylla",1988201223,"Victoria, Oak Bay, Trafalgar Park, southeast end","CAN",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-121.217,35.876,"Agrostis microphylla",3053378060,"Fort Hunter Liggett: near mouth of Los Burros Crk","USA",1000,1960,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-121.252,38.887,"Agrostis microphylla",3053394447,"ca. 1.7 mi E of Lincoln, rd to Newcastle","USA",1000,1957,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.8367,34.501,"Agrostis microphylla",3053336024,"Santa Ynez Mtns: Los Padres National Forest El Camino Cielo, ca. 2 mi W of San Marcos Pass","USA",750,1956,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-121.3357308,35.9368933,"Agrostis microphylla",3053442245,"Fort Hunter Liggett: confluence of San Miguel and Anthony crks, ca. 5 km WNW of San Miguelito Ranch Ruins; Ft Hunter Liggett","USA",200,1999,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-121.135,35.9445,"Agrostis microphylla",3053381915,"Fort Hunter Liggett: Jolon Flats, ca. 2.5 km E of Jolon Crk, ca. 3 km N of San Antonio River; Ft Hunter Liggett","USA",1200,1996,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-122.5095,38.3648,"Agrostis microphylla",3053427570,"5.5 mi N of Sonoma. St Hwy 12","USA",1000,1966,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
