"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-117.303,45.1723,"Agrostis thurberiana",3467366302,"Wallowa Mts., Eagle Cap Wilderness, talus slopes below Eagle Cap between Mirror and Mocasin Lakes","USA",NA,2021,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-110.6463,40.6563,"Agrostis thurberiana",1929525077,"37 mi 339 deg of Duchesne, Ashley National Forest, Uinta Mountains, 0.2 mi east of Squaw Lake.","USA",NA,1991,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-111.5688,44.5863,"Agrostis thurberiana",1929426722,"1/2 mile west of Hell-roaring Creek.","USA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-105.393451,39.901132,"Agrostis thurberiana",4027072979,"Axton Ranch Mountain Park. 450 acre parcel just east of Starr Peak and approximately 13.75 kilometers west north west of intersection of Colorado State highway 72 and Colorado State Highway 93.","USA",NA,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-107.715051,37.673509,"Agrostis thurberiana",2242378258,"Weminuche Wilderness, West Needle Mountains, Crater Lake.","USA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-105.738059,40.434087,"Agrostis thurberiana",2242371406,"ROMO, Mummy Range, Fall R. wetlands from Willow Park ranger patrol cabin to near timberline. Rocky Mountain National Park.","USA",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-123.05,49.766667,"Agrostis thurberiana",1988128209,"Garibaldi Park","CAN",NA,1960,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-120.8025,49.000556,"Agrostis thurberiana",1988172941,"Cascade Mountains, Hozameen Range, Manning Provincial Park, Pacific Crest Trail, Castle Creek near United States of America border","CAN",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-121.458056,49.046389,"Agrostis thurberiana",1988112506,"Cascade Mountains, Skagit Range, between Mount Webb and MacDonald Peak","CAN",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-120.663,39.376,"Agrostis thurberiana",3053467812,"ca. 1/8 mi N of Grouse Ridge Rd, on W side of a poor rd, ca. 100 yds N of locked the locked gate, ca. 0.5 mi NE of Bowman Lake Rd (Forest Rd 18), ca. 5 air mi N of Bear Valley and Hwy 20","USA",1000,2003,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.3376617,35.8969168,"Agrostis thurberiana",3053414613,"Salmon Crk at N end of Big Meadow; Kern Plateau","USA",1000,1970,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.634,48.7147,"Agrostis thurberiana",1320945968,"Glacier National Park, Siyeh Pass","USA",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
