"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
115.066667,4.7,"Airyantha borneensis",2515468756,"Northern slope of Bt. Bangar, Bangar, Brunei Tembrong.","BRN",NA,1964,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.95,5.566666,"Airyantha borneensis",2515482310,"Ulu Kimanais, Papar.","MYS",NA,1976,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.795833,5.466667,"Airyantha borneensis",2514193105,"Malaysia/Sabah Borneo Membakut Hutan Simpan Binsulok","MYS",NA,1992,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.066666,5.983333,"Airyantha borneensis",2515475231,"Sabah, Kota Kinabalu. On the ridge behind & just to the north end (new site for hotel complex).","MYS",NA,1980,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.066666,5.033333,"Airyantha borneensis",2515481178,"Muara","BRN",NA,1990,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
114.583333,4.533333,"Airyantha borneensis",2514212070,"Merangking Buau","BRN",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.833333,5.55,"Airyantha borneensis",2514159066,"Ulu Bongawan. Papar.","MYS",NA,1976,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.93,5.73,"Airyantha borneensis",2514209081,"Kg. Sampango, Papar, Beaufort District.","MYS",NA,1962,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
114.483333,4.55,"Airyantha borneensis",2514201092,"Belait, Bukit Sawat: Sungai Mau. Along Sg belait downstream from village.","BRN",NA,1991,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
114.65,4.283333,"Airyantha borneensis",2514203080,"Brunei. Belait District: Bank of Sungei Belait between S. Buau and Sukang.","BRN",NA,1989,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
