"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
39.05,-6.96666,"Albizia versicolor",4060973318,"Buyuni-Kazimzumbwi Forest Reserve, woodland.","TZ",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.38666,-9.65833,"Albizia versicolor",4061062321,"T8. Makangara Forest Reserve, ca. 1.5 km S of Kinyope Village, Rutamba Ward, Milola Division. Coastal forest mixed with miombo species, dominated by Albizia versiolor, Pteleopsis myrtifolia, Strychnos spp., Afzelia quanzensis, Millettia stuhlmannii, Olax dissitiflora, Annona senegalensis, Securidaca longipedunculata, Markhamia sp.","TZ",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
30.07,-2.52,"Albizia versicolor",1563339517,"Burundi, Prov. Muhinga: Kirundo (Yaranda),","BI",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
30.6149,2.1063,"Albizia versicolor",3478098698,"","CD",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
-96.7827,19.4682,"Albizia versicolor",3476789759,"","MX",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
-43.2264,-19.6546,"Albizia versicolor",3476792732,"","BR",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
22.197386,-18.745988,"Albizia versicolor",2283000975,"","BW",19,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
38.743611,-5.066944,"Albizia versicolor",4031660993,"Mringa Forest Reserve, W of big cliff, with Albizia gummifera, Ricinodendron heudelotii and Antiaris toxicaria.","TZ",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
39.08333,-6.7,"Albizia versicolor",1258320337,"Pande Forest Reserve. Forest.","TZ",NA,1989,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
34.085,-10.475278,"Albizia versicolor",1932388621,"Along Nkhara River Bank, Point 1, Nyika National Park","MW",NA,2007,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.218103,-25.528517,"Albizia versicolor",3961083549,"","ZA",3,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.635897,-26.180989,"Albizia versicolor",4028694004,"","SZ",NA,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.79519,-24.524317,"Albizia versicolor",3873097147,"","ZA",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.29332,-23.098355,"Albizia versicolor",1978455570,"","ZA",6,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.2825,-28.0563,"Albizia versicolor",3314629510,"","ZA",100,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.917317,-20.490155,"Albizia versicolor",3760392377,"","BW",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.963883,-25.49237,"Albizia versicolor",2963809685,"","ZA",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.398239,-25.584717,"Albizia versicolor",3961137159,"","ZA",3863,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.303307,-27.044304,"Albizia versicolor",2465197690,"","ZA",4,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.3455,-24.8301,"Albizia versicolor",1838376930,"","ZA",1,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
31.004034,-25.483466,"Albizia versicolor",3773246437,"","ZA",8,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
34.35201,-18.98015,"Albizia versicolor",3923558213,"","MZ",250,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
33.2603,-8.8297,"Albizia versicolor",1936577196,"Mbeya, Mbeya District,","TZ",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
27.48,-16.27,"Albizia versicolor",912275604,"Hillside on the Monze lon? var road. ZAM-S","ZM",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
