"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
49.43333,-14.53333,"Allophylus pinnatus",4060910866,"WNW of Andapa, NW of village of Ambodisatrana; forested slopes.","MDG",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
49.500833,-14.750833,"Allophylus pinnatus",4060934432,"Fivondronana d'Andapa, Firaisana de Bealampona, Fokontany de Befingotra. Réserve Spéciale Anjanaribe-Sud, environs 37 km au Sud Ouest d'Andapa par la route Nationale d'Andapa-Bealanana, à 3 km au Sud Est de l'ancien village de Mandritsarahely, piste vers Ranomafana. Forêt humide d'haut plateau. Echantillons préservés en alcool.","MDG",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
48.2989,-18.8483,"Allophylus pinnatus",1318123343,"Moramanga, NE of, at nickel-mining exploration site, Ambatovy. Near pump below camp.","MDG",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
47.433333,-21.266667,"Allophylus pinnatus",1258928674,"Parc National Ranomafana, S of Namorona river, trail to primatologist camp at Vatoranana.","MDG",NA,1992,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.44583,-14.80416,"Allophylus pinnatus",1258395122,"SW of Andapa, near SW edge of Anjanaharibé-Sud Reserve; forested slopes.","MDG",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.98333,-15.63333,"Allophylus pinnatus",1258926967,"Maroantsetra. Trail ESE of village of Ambanizana, SE of Androka River. SE of Maroantsetra, NW coast of Masoala Peninsula. Dense forest.","MDG",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
44.450278,-17.880833,"Allophylus pinnatus",4031790151,"Beanka, partie nord.","MDG",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
50.01666,-15.78333,"Allophylus pinnatus",1258914327,"Antalavia, Masoala Peninsula.","MDG",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
44.520556,-18.061111,"Allophylus pinnatus",4031889957,"Beanka, partie sud. Sarodrano","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
47.75,-19.68333,"Allophylus pinnatus",4061756865,"Mahatsinjo, Tsinjoarivo.","MDG",NA,2003,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
48.41666,-18.91666,"Allophylus pinnatus",4061942524,"Near Andasibe, forest of Mantadia, beyond graphite mine.","MDG",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
44.474167,-18.035556,"Allophylus pinnatus",2268877528,"Beanka, partie sud. Anadabomanambaditsingilo","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
45.812778,-16.054722,"Allophylus pinnatus",4060886764,"Mitsinjo, Analamanitra, forêt de Tsiombikibo, lieu dit forêt d'Ambinda, 2 heures de marche à l'Ouest du village d'Analamanitra.","MDG",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.003611,-22.227778,"Allophylus pinnatus",4061585539,"Andringitra, Camp II, ca. 43 km S of Ambalavao, Andringitra Reserve, junction of the Sahanivoraky and Sahavatoy Rivers. Collected with J. Raharimalala, G. Rahajasoa, M. Randriambololona & J. McDonagh.","MDG",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
14.049722,-2.157777,"Allophylus pinnatus",1839370279,"Haut- Ogooué. Mpassa River's edge","GAB",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
11.75,-0.45,"Allophylus pinnatus",1840377632,"OGOOUÉ- IVINDO Eastern border of Lopé- Okanda Reserve, along roads south of SEG lumber camp, west of Offoué River","GAB",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
11.715,-0.521666,"Allophylus pinnatus",1840377631,"OGOOUÉ-IVINDO, Lopé Reserve. On hill, in gallery forest","GAB",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
