"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
141.776667,-38.1375,"Amphibromus sinuatus",1096795098,"Australia. Victoria, Lake Condah Indigenous Protected Area, Kurtonitj block, 1.7 km N from entrance track on Woolsthorpe-Heywood Rd.","AUS",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
145.1322,-38.5111,"Amphibromus sinuatus",3130754221,"","AUS",400,2000,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
141.86,-38.0275,"Amphibromus sinuatus",1645132917,"","AUS",1.5,1991,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
140.9847,-37.6652,"Amphibromus sinuatus",3129293336,"","AUS",400,1980,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
147.695,-36.9461,"Amphibromus sinuatus",2439327245,"Lake Omeo, north shore, adjacent to the inlet/outlet culvert.","AUS",50,2005,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.9,-37.9016,"Amphibromus sinuatus",1645444424,"","AUS",1.5,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
147.1155,-38.1493,"Amphibromus sinuatus",1645402004,"","AUS",1,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
141.1944,-37.4858,"Amphibromus sinuatus",1645477346,"","AUS",1.5,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
144.118,-38.2735,"Amphibromus sinuatus",3130780376,"","AUS",100,1996,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
141.7636,-38.1988,"Amphibromus sinuatus",1645308190,"","AUS",1.5,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
141.5815,-37.559,"Amphibromus sinuatus",1645820950,"","AUS",2,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
141.0888,-37.6578,"Amphibromus sinuatus",1645820938,"","AUS",2,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143.5442,-37.5592,"Amphibromus sinuatus",1645499150,"","AUS",17,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
153.024989,-30.26916,"Amphibromus sinuatus",1935403510,"locality withheld","AUS",100,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.7761,-30.040085,"Amphibromus sinuatus",4016927915,"Northern end of Llangothlin Lagoon.","AUS",2000,1982,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
147.3333,-37.9167,"Amphibromus sinuatus",3129268964,"","AUS",1000,1984,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.5561,-38.3763,"Amphibromus sinuatus",3130147611,"","AUS",100,2010,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.1333,-37.9566,"Amphibromus sinuatus",1645451014,"","AUS",1.5,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143.7833,-37.5386,"Amphibromus sinuatus",1645446796,"","AUS",1.5,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143,-37.7677,"Amphibromus sinuatus",1645445204,"","AUS",1.5,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
140.6539,-37.7247,"Amphibromus sinuatus",2438088666,"5.5 km SE of Glencoe, Crooked Break Forest area, S part of Section 106 Hundred of Young.","AUS",1000,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.743,-37.7705,"Amphibromus sinuatus",1645441312,"","AUS",1.5,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.55,-30.55,"Amphibromus sinuatus",2827223487,"Thomas Lagoon, 10 km SE of Armidale","AUS",NA,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
151.483333,-30.666667,"Amphibromus sinuatus",2827219982,"Rececourse Lagoon, 5 km S of Uralla","AUS",NA,1991,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
151.4,-30.090556,"Amphibromus sinuatus",2827268763,"Little Llangothlin Nature Reserve, Billybung Lagoon, 22 km NNE of Guyra on Bagots Road, off Tubbamurra Road","AUS",NA,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
141.1342,-37.9775,"Amphibromus sinuatus",3130256416,"","AUS",1,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.9718,-38.0681,"Amphibromus sinuatus",3129939418,"","AUS",1,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143.4875,-37.5802,"Amphibromus sinuatus",1645444580,"","AUS",1.5,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.1279,-38.2515,"Amphibromus sinuatus",3129344204,"","AUS",1,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143.8752,-37.5913,"Amphibromus sinuatus",1640807385,"","AUS",50,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
145.2,-38.4833,"Amphibromus sinuatus",3129521774,"","AUS",1000,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
145.2258,-38.5141,"Amphibromus sinuatus",1641126671,"","AUS",50,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
140.97,-37.67,"Amphibromus sinuatus",2827827721,"WSW of Casterton and S of Lake Mundi on S.A. border.","AUS",NA,1981,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
141.0625,-37.7386,"Amphibromus sinuatus",1645474011,"","AUS",1.5,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
147.32,-41.82,"Amphibromus sinuatus",2827978178,"Barton Road, SW of Epping Forest (South Esk 216 696).","AUS",NA,1987,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
147.156822,-41.57885,"Amphibromus sinuatus",3749738451,"West of Perth, south of Illawarra Road.","AUS",50,2014,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
148.05296,-42.112773,"Amphibromus sinuatus",2431023755,"Swansea, Rockcliffe property","AUS",50,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
