"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
133.906956,-23.720553,"Amyema hilliana",2445809374,"Mt John Valley, minor valley floor.","AUS",20,1996,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.763333,-23.736944,"Amyema hilliana",2445803488,"Jim Brown property, Honeymoon Gap.","AUS",20,1996,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.951919,-23.845218,"Amyema hilliana",1633461808,"","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.108034,-25.519929,"Amyema hilliana",1633459884,"0.7km from white gate into stud paddock","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
118.016667,-22.4,"Amyema hilliana",2830578981,"Gorge behind Mt Frederick, Hamersley Range.","AUS",1000,1966,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
134.215,-23.693611,"Amyema hilliana",2830445279,"c. 1 km Sth Corroboree Rock, Ross Hwy.","AUS",50,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.05,-25.866667,"Amyema hilliana",2854312351,"119 km N of Meekatharra on Great Northern Highway","AUS",3000,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.507667,-23.760806,"Amyema hilliana",2854364265,"Third pool above Durba Springs, Canning Stock Route","AUS",100,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.447111,-26.028278,"Amyema hilliana",2853736362,"S of Dingo Bore, Lorna Glen Station","AUS",100,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.247222,-24.305556,"Amyema hilliana",2853849827,"Dreamtime Gully, Little Sandy Desert","AUS",100,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.534931,-26.511618,"Amyema hilliana",2854009996,"Muggon Station, N of Spinifex Well","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
134.016667,-23.75,"Amyema hilliana",2827599782,"Jessie Gap, about 10 m E of Alice Springs.","AUS",NA,1958,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.683333,-23.566667,"Amyema hilliana",2829141814,"1 km SW of Mt Solitaire, Hamilton Downs Station.","AUS",1000,1974,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.078611,-22.321667,"Amyema hilliana",2830629317,"Yandagoode Creek - camp Tracy, NW edge of Rudall River National Park.","AUS",50,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.289444,-26.408056,"Amyema hilliana",2830734200,"Region 1: North-western. De Rose Hill Station c. 4 km NE of Homestead on the road to One Tree Well and Tieyon Station.","AUS",50,1989,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.13488,-25.5846,"Amyema hilliana",2418365387,"Lee Steere Range","AUS",10,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
118.551362,-25.605854,"Amyema hilliana",2418381081,"Robinson Ranges and Mt Gould","AUS",10,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
131.6,-24.283333,"Amyema hilliana",2827248720,"George Gill Range, 1 km W of Reedy Creek","AUS",NA,1962,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.316667,-22.333333,"Amyema hilliana",2853803986,"12 km S of Wittenoom","AUS",NA,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
124.733333,-24.75,"Amyema hilliana",2853887156,"Gibson Desert Nature Reserve","AUS",NA,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.9,-22.833333,"Amyema hilliana",2853676623,"Little Sandy Desert","AUS",NA,1979,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.984028,-25.487889,"Amyema hilliana",2853858241,"9 km W of E boundary, Pimbee Station, 135 km SE of Carnarvon in Gascoyne District","AUS",100,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.560833,-22.475278,"Amyema hilliana",3107444424,"Circular Pool carpark, Karijini National Park","AUS",100,2018,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.525,-23.852778,"Amyema hilliana",2854054189,"Savory Creek near the Vermin Fence crossing","AUS",NA,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.916667,-27.816667,"Amyema hilliana",2854195571,"Great Northern Highway, 31.6 km N of Mount Magnet","AUS",100,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.724111,-23.96375,"Amyema hilliana",2854190895,"On track around the Calvert Range, 400 m S of [lat/long given]","AUS",100,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.4,-23.8,"Amyema hilliana",2854433547,"25 km E of Cundlebar Homestead","AUS",100,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.221667,-22.895278,"Amyema hilliana",2854437473,"Weeli Wolli Spring","AUS",100,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.333333,-23.683333,"Amyema hilliana",2830535061,"Tylers Pass.","AUS",1000,1986,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
129.283333,-24.933333,"Amyema hilliana",2830674235,"Hull River, 5 miles NW of Lasseter's Cave.","AUS",NA,1958,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.233333,-23.416667,"Amyema hilliana",2830320067,"Glen Helen, near Ironstone Hill.","AUS",NA,1955,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
134.5,-23.733333,"Amyema hilliana",2828971509,"Alice Springs, an der Strasse nach Ross R. nahe Emily Gap.","AUS",NA,1981,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.833333,-25.366667,"Amyema hilliana",2829818660,"Mt Olga, Ayers Rock National Park.","AUS",1000,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
127.920556,-24.823611,"Amyema hilliana",2437255745,"Ngaanyatjarraku Shire. Rawlinson Range. 0.6 km due S from Yirrirra bore, 45 km NW of Giles Meteorological Station.","AUS",50,2012,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.466667,-22.4,"Amyema hilliana",2854161296,"Yampire Gorge, Hamersley Range","AUS",NA,1962,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.965,-25.982222,"Amyema hilliana",2854245533,"Woodleigh Station, near Mill 18","AUS",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
124.98,-25.05,"Amyema hilliana",2854258351,"Charlie's Knob, Young Range, Gibson Desert Nature Reserve","AUS",100,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.566344,-26.249004,"Amyema hilliana",2853716946,"Muggon Station, Weenyung Well at 35.2 km N of Spinifex Well","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.256667,-22.618889,"Amyema hilliana",2853823014,"Karijini National Park at NE corner of the Mt Bruce flats, i.e. 4 km SW of the junction of Mt Bruce and Marandoo Roads on the track from park headquarters","AUS",3000,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
123.697672,-26.752673,"Amyema hilliana",2854170810,"To W of track, c. 0.9 km on a bearing of 151 degrees from Peterswald Hill","AUS",100,2014,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.387222,-26.918611,"Amyema hilliana",2854229718,"Site 1, Honeymoon Well Project Area, 40 km S of Wiluna","AUS",NA,1991,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.38,-25.02,"Amyema hilliana",2854293079,"42 km S of Kumarina Roadhouse on Great Northern Highway","AUS",3000,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.630556,-22.469444,"Amyema hilliana",2854236034,"Duck Creek, 5 km NE of Quarry Hill, ca 130 km W of Tom Price","AUS",NA,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.648806,-23.7935,"Amyema hilliana",2853643463,"3.6 km S of Pretty Pool, off Elliot Creek, N of Coodardo Gap, in CALM's Wanna Station","AUS",100,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.75,-25.55,"Amyema hilliana",2853703121,"ExSB 394, Pimbee Station","AUS",NA,1982,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.894167,-23.411389,"Amyema hilliana",2854213501,"Barlee Range Nature Reserve, S boundary, 9.6 km SW of Mount Palgrave, 8.8 km ESE of Mount Maitland, 15.1 km SE of Mount Padbury","AUS",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.402472,-26.224694,"Amyema hilliana",2854232639,"LGS 5, Lorna Glen Station, 150 km ENE of Wiluna","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.334397,-23.315396,"Amyema hilliana",2830047541,"Ehrenburg Hills","AUS",1000,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.414167,-23.769444,"Amyema hilliana",2850126221,"Western end of study area, North of Ilparpa Range, immediately West Of J. Browns property.","AUS",20,1996,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.086357,-24.053673,"Amyema hilliana",1633459006,"","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
117.810278,-22.605,"Amyema hilliana",2853797273,"10 km NNE of Tom Price on rail access road","AUS",3000,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.77,-25.12,"Amyema hilliana",2853888179,"Nabberu Mining Camp on Marymia Station","AUS",100,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.784722,-26.353056,"Amyema hilliana",2854036945,"Koonmarra Station, track to Pinkajerry Bore, N of Toonjia Bore, W of Meekatharra","AUS",100,2013,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.748889,-25.496944,"Amyema hilliana",2854001188,"Pimbee Station, 92 km from Wooramel Roadhouse, Pimbee Road, SW of Gascoyne Junction","AUS",100,2014,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.1,-27.116667,"Amyema hilliana",2854162925,"125 km N of Mount Magnet","AUS",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.807033,-22.280937,"Amyema hilliana",2854343541,"Site No. 1048. 16.25 km NNE of Red Hill, Hamersley Ranges, Fortescue Botanical District","AUS",100,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
121.779167,-25.506944,"Amyema hilliana",2854404967,"Site 20, Sydney Head Pass, 23.6 km ENE of Earaheedy Homestead","AUS",100,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.153639,-25.638972,"Amyema hilliana",2854054476,"12.5 km on Peak Hill Road from Doolgunna Station; 146 km N of Meekatharra in the Gascoyne","AUS",100,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
