"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
110.1,-1.22,"Archidendron triplinervium",2239566241,"Gunung Palung National Park, Cabang Panti Research Site. RB8","IDN",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
113.166667,-1.166667,"Archidendron triplinervium",2515293309,"Bukit Raya, Tumbang Tapi.","IDN",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.616667,4.933333,"Archidendron triplinervium",2514202161,"Mendulong,","MYS",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.8333,-1.2833,"Archidendron triplinervium",2513096206,"East BorneoBalikpapan region near Sg. Mentawir","IDN",NA,1954,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.42,6.25,"Archidendron triplinervium",2514206142,"Ulu Sg. Kurput, Kota belud.","MYS",NA,1961,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.03,0.57,"Archidendron triplinervium",2514134166,"East Borneo, Central Kutei, Belajan R., G. Kelopok near Tabang,","IDN",NA,1955,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
113.416666,2.1,"Archidendron triplinervium",2514189155,"ulu Sg. Melinau, Kapit, 7th division","MYS",NA,1978,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.416666,5.833333,"Archidendron triplinervium",2514156147,"Sg. Sapi Camp, Sapi F. Res. Beluran.","MYS",NA,1963,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
112.05,-0.816667,"Archidendron triplinervium",2514207156,"Sintang, km 84","IDN",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.816667,5.483333,"Archidendron triplinervium",2514153167,"road to Lamag. Sandakan.","MYS",NA,1973,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
118.18,4.65,"Archidendron triplinervium",2514158146,"Tanagang Kechil Kinabatangan Mostyn district.","MYS",NA,1965,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.983333,5.683333,"Archidendron triplinervium",2515293236,"Sekng Kechil, Sandakan.","MYS",NA,1963,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.67,4.75,"Archidendron triplinervium",2514157171,"Sipitang road, Mile 9. Beaufort","MYS",NA,1963,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
118.316666,5.033333,"Archidendron triplinervium",2515297317,"[Malaysia/Sabah , Borneo , Sandakan , Lahad Datu ]","MYS",NA,1990,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.483333,4.416666,"Archidendron triplinervium",2515283158,"Mile 34 Main Rd. Kalabakan. Tawau.","MYS",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.65,5.683333,"Archidendron triplinervium",2515293595,"Lungmanis RP. 47.Sandakan.","MYS",NA,1960,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
112.283333,-0.633333,"Archidendron triplinervium",2515170945,"Borneo; W. Kalimantan, Sintang, Bukit baka National Park. Ridge above Sungai Ella.","IDN",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
112.5,-0.816667,"Archidendron triplinervium",2514168144,"Sintang","IDN",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.316666,5.8,"Archidendron triplinervium",2515297239,"Malaysia/Sabah Borneo Beluran Bidu-Bidu Forest Reserve","MYS",NA,1990,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.083333,4.833333,"Archidendron triplinervium",2515288600,"Seranum, Gunong Rara. F. Res. kalabakan.","MYS",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.419388,0.538659,"Archidendron triplinervium",4012475337,"East Borneo Balikpapan region, near Sg. Mentawir","IDN",NA,1954,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
111.5,0.066666,"Archidendron triplinervium",2515297353,"Sintang, km 86","IDN",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.833333,5.25,"Archidendron triplinervium",2515290788,"Mile 68, logging area, Halogilat. Beaufort","MYS",NA,1973,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
