"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-96.6824,41.8068,"Aristida basiramea",1931233444,"1 mile East of West Point on Hwy 32 & 1 1/2 mile South","USA",NA,1974,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-105.321831,40.202718,"Aristida basiramea",2242381755,"Private residence & horse corrals at 6775 Arapahoe Rd in City of Boulder","USA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-79.864329,44.847556,"Aristida basiramea",2874007991,"","CAN",5,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-93.190527,45.404285,"Aristida basiramea",4028761799,"","USA",19,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-79.972219,44.788457,"Aristida basiramea",3455806662,"","CAN",NA,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-92.93521,48.71545,"Aristida basiramea",4046477450,"","CAN",100,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-89.301569,41.981549,"Aristida basiramea",3923485740,"","USA",22,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-73.011178,45.29977,"Aristida basiramea",3784927716,"","CAN",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-90.122148,44.075755,"Aristida basiramea",1305228614,"","USA",NA,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-88.51205,42.879371,"Aristida basiramea",1305231085,"","USA",NA,1991,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-89.723125,45.549589,"Aristida basiramea",1305245263,"","USA",NA,1952,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-89.555246,44.536558,"Aristida basiramea",2900314353,"","USA",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-98.169487,37.89668,"Aristida basiramea",1930723095,"1/2 mile east of Arlington. hillside","USA",NA,1960,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-72.316263,43.647614,"Aristida basiramea",2270489792,"White River Junction","USA",600,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-92.570607,44.624671,"Aristida basiramea",2858994483,"just N of jct of Co. E & K, 2.25 mi NW of Hager city, Upper Mississippi River terraces","USA",3604,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-105.2113,39.8922,"Aristida basiramea",1929812348,"In depression just S of railroad tracks. 7 mi S of Boulderm on Rocky Flats Pediment","USA",NA,1973,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-93.568582,45.516159,"Aristida basiramea",2265476689,"3.5 mi s of Princeton.;;;;","USA",6741,1954,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-94.308333,46.116667,"Aristida basiramea",2265475471,"Ripley Esker, ca 3 mi ne of Camp Ripley junction. T42N R31W Sec.19;Ripley Esker Scientific Natural Area;042N;31W;19","USA",301,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-91.368489,43.436517,"Aristida basiramea",2265557282,"Driftless Area. Upper Iowa River. T100N R4W Sect. 32. Iowa Twp.","USA",969,1959,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-94.188579,45.904403,"Aristida basiramea",2265475751,"Morrison Co. ... Sabdhill [sic] Crane Meadow, 4.5 mi w of Buckman on Hwy 34. T39N R31W Sec. 3 & 4.;Crane Meadows National Wildlife Refuge;039N;31W;","USA",969,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-94.420107,44.292954,"Aristida basiramea",2265471146,"Nicollet County ... Ca. 2.5 mi. NW of Courtland on Rte. 14; Red Rock area ... E1/2 SW1/4 SW1/4 Sec. 34 T110N R30W (Courtland 34). 110N 30W 34","USA",969,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-91.660979,43.594629,"Aristida basiramea",2265476774,"1.5 mi s, 0.25 mi w of Black Hammer;Dorer Memorial Hardwood State Forest;102N;07W;","USA",4260,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-93.998475,44.274575,"Aristida basiramea",2265476347,"Le Sueur Co. Approx. 1 mi sw of Kasota; on a dry bluff overlooking the Minnesota River. T109N R26W Sec.6.;East Minnesota River Wildlife Management Area;109N;26W;6","USA",969,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-96.424667,47.041361,"Aristida basiramea",3807022339,"T141N R45W sec. 8 NW 1/4 SW 1/4; B-B Ranch","USA",NA,2013,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-94.03978,44.16357,"Aristida basiramea",2265475029,"3 mi w of Mankato;;108N;27W;","USA",8799,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-91.938909,44.258107,"Aristida basiramea",2265475911,"Wabasha County...Weaver Dunes: T109N R9W SE1/4 and E1/2 NE1/4 of Sec.7; NW1/4 and W1/2 NE1/4 of Sec.8.;Kellogg-Weaver Dunes Scientific Natural Area / Kellogg-Weaver Dunes, The Nature Conservancy;109N;09W;00","USA",969,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-91.402884,43.767566,"Aristida basiramea",2265476771,"Houston Co. Gap Hill #1; ca. 4 mi w of Hokah on N side of Minn. hwy 16; NW1/4 SE1/4 Sec.34 T104N R5W.;Dorer Memorial Hardwood State Forest;104N;05W;34","USA",1018,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-94.850277,46.068598,"Aristida basiramea",2265466400,"Todd County, Demolition Landfill ... east of the Long Prairie River, 1 1/2 miles southeast of Browerville ... T130N R33W SW1/4 of NW1/4 f SE1/4 Sec.16. 130N 33W 16","USA",2112,2004,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-93.022222,44.685833,"Aristida basiramea",2265475441,"About 2 mi south-southeast of Coates; 0.2 mi southwest of the junction of 180th Street & hwy 52. NW1/4 NE1/4 of section;;114N;18W;18","USA",NA,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-93.48548,45.524367,"Aristida basiramea",2265476847,"In a 15 acre old-field, o.5 mi N of Tennyson Lake; SE1/4 NW1/4 Sec. 17 T35N R25W;;035N;25W;17","USA",320,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-95.224576,45.448602,"Aristida basiramea",2265476387,"T123N, R36W Sec. 20.;T123N R36W S20","USA",969,1990,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-93.152184,45.433126,"Aristida basiramea",2265475868,"NW of the cemetery along the S line of Isanti county, Cedar Creek Natural History Area.;Cedar Creek National History Area;034N;23W;","USA",2289,1961,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-93.6154,44.725596,"Aristida basiramea",2265476273,"Scott Co. T115N R23W Louisville Twp, E1/2 E1/2 W1/2 sec.32, near center.;Minnesota Valley National Wildlife Refuge;115N;23W;32","USA",437,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-93.155041,45.17736,"Aristida basiramea",2265599101,"Blaine, Lochness Park, NE corner.;;031N;23W;13","USA",145,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-92.128869,47.680255,"Aristida basiramea",2265448633,"T60N R14W S16NWNWNE St. Louis County ... Approximately 3.78 miles NE of Embarrass. MN along the north shoulder of Hwy 21;;060N;14W;16","USA",969,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
-92.192991,47.679778,"Aristida basiramea",2265389199,"T60N R15W S13SESWNW St. Louis County ...Approximately 1.4 miles north of Embarrass, MN along the west shoulder of Hwy 21;;060N;15W;13","USA",969,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_COLLECTION"
