"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-63.18,-17.97,"Aristida mendocina",1928672146,"Along highway from Santa Cruz to Abapó, 3 km S of crossing of railroad and 2 km S of bridge over Quebrada Peji or Río Peji.","BOL",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-68.879137,-33.190858,"Aristida mendocina",2873765159,"","ARG",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-68.837172,-33.067738,"Aristida mendocina",2988325702,"","ARG",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-63.16666,-17.91666,"Aristida mendocina",1260173658,"Ibanez, Las Lomas de Arena, 5 km E YPFB refinery. Sandy plain with active and relict dunes (up to 20 m tall); open savanna, savanna wetland and scrub thickets.","BOL",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-69.278141,-33.395513,"Aristida mendocina",4011604660,"","ARG",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-63.16666,-17.66666,"Aristida mendocina",1259012878,"Las Lomas de Arena, 10 km E of YPFB refinery. Sandy plain with large (25 m) active and relict dunes; dry forest, open savanna and savanna wetlands","BOL",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.7625,-31.028056,"Aristida mendocina",1258021051,"Ruta Provincial 149, de Talacasto a La Ciénaga.","ARG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-66.286389,-35.162222,"Aristida mendocina",1258093755,"Ruta Nacional 188, de Unión a La Maroma.","ARG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-66.11666,-25.7,"Aristida mendocina",1259542877,"Ruta 40, de Cafayate a Cachi, Sierra de Quilmes","ARG",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-61.9225,-20.08916,"Aristida mendocina",1258539108,"Parque Nacional Kaa-Iya del Gran Chaco, Hito 27 de Noviembre. Pampa arbolada sobre arenas con Aristida mendocina y Schipnosis cornuta, producidas por fuego.","BOL",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-61.63,-16.48,"Aristida mendocina",3005688439,"Nuflo de Chavez, Rancho Zapocoz, 80km SE of Concepción.","BOL",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-60.6,-25.7,"Aristida mendocina",1259521629,"A 20 km del cruce de la RN 9 (Miraflores-Castelli) en direcc. N hacia El Espinillo.","ARG",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-61.93333,-20.71666,"Aristida mendocina",4061173793,"Fortín Nueva Asuncion. Bosque al termino norte del aeropista militar y alrededores. Bosque xerofítico espinoso muy abierto, de hasta 10 m de altura. Suelo muy arenoso.","PRY",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
