"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-118.5765,35.858,"Astragalus bolanderi",3053376795,"Tobias Pass","USA",1000,1968,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.808,36.62,"Astragalus bolanderi",3053429697,"Sequoia National Park; Little Baldy Saddle","USA",1000,1967,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-120.3056,38.5453,"Astragalus bolanderi",3053339483,"Ellis Rd, 0.2 mi S of its jct with CA-88","USA",400,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.853,36.675,"Astragalus bolanderi",3053444273,"Sequoia National Park; Generals Hwy, 8.8 mi N of Dorst Crk","USA",1000,1962,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.1513,37.267,"Astragalus bolanderi",3125062327,"3.0 miles east from Huntington Lake, Sierra National Forest.","USA",100,1964,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-120.255,38.8275,"Astragalus bolanderi",3125066360,"Northern Sierra Nevada Mountains: Forestry Route 42, 0.2 mile west of its junction with Wright's Lake Road and beside Silver Creek, 4 miles NE (31°) of Kyburz.","USA",NA,2010,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-120.14694,38.63944,"Astragalus bolanderi",3125190377,"Northern Sierra Nevada Mountains: Tragedy Spring, near Carson Pass Hwy, along Tragedy Spring Road 0.3 mile east of its junction with CCA-88 (Tragedy Spring 7.5'Q)","USA",NA,2012,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-121.1266,39.9344,"Astragalus bolanderi",3125059302,"On ridge north of Spanish Peak.","USA",400,1955,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.59583,36.21667,"Astragalus bolanderi",3125189376,"GoldenTrout Wilderness, Little Kern River drainage, along Summit Trail 31E14 between South Mountaineer Creek and Jacobsen Meadow.","USA",NA,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.6303,37.667,"Astragalus bolanderi",2451549717,"Peregoy, Yosemite National Park","USA",1000,1965,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
