"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-112.531155,36.501045,"Astragalus calycosus",1846541641,"Kanab Creek Wilderness, Kaibab National Forest, just east and north of Sowats, south end of Sowats Point, 12S 362874 E, 4040614 N, NAD 83/84","USA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.421033,35.458657,"Astragalus calycosus",1846553262,"Blye Canyon east of Truxton, South Blye tank","USA",NA,2013,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.412367,34.371133,"Astragalus calycosus",1846483043,"Arizona National Scenic Trail, Passage 27, along the Highline Trail, west of Red Rock Spring.","USA",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.074383,36.985017,"Astragalus calycosus",3425126478,"Buckskin Mountains, Arizona National Scenic Trail, Buckskin Passage, North Larkum Canyon.","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.898705,34.786454,"Astragalus calycosus",1846556996,"East of highway 89A and south of FSR 525, along dirt road towards Oak Creek.","USA",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.921667,36.045167,"Astragalus calycosus",1846487933,"Grand Canyon National Park, near mouth of Red Canyon at Hance Rapids, river left.","USA",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.764767,34.53955,"Astragalus calycosus",1846486497,"Coconino National Forest, north of Verde River, west of FSR 618 (Bullpen Road), north of highway 260, southeast of Camp Verde.","USA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.87378,36.297279,"Astragalus calycosus",1846519050,"Grand Canyon National Park, Nankoweap Canyon.","USA",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.740028,34.679028,"Astragalus calycosus",1846489987,"Ca. 5 miles NW of McGuireville by road to entrance of Montezuma Well.","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.1182,36.1381,"Astragalus calycosus",1846475868,"Grand Canyon National Park, Phantom Canyon/Creek, below junction with Haunted Canyon.","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
