"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-70.203828,-35.048665,"Astragalus cruckshanksii",4015202391,"","ARG",61,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.424592,-34.955505,"Astragalus cruckshanksii",3325802321,"","CHL",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-72.279545,-50.348566,"Astragalus cruckshanksii",2460067686,"","ARG",10,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-69.75,-32.85,"Astragalus cruckshanksii",1986980370,"Punta de Vacas","ARG",3036,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-69.992621,-32.820275,"Astragalus cruckshanksii",4014939403,"","ARG",122,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.085311,-33.675872,"Astragalus cruckshanksii",4014900748,"","CHL",6,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.517002,-35.197521,"Astragalus cruckshanksii",4014957801,"","CHL",31,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.074722,-32.890833,"Astragalus cruckshanksii",574716773,"Parque Andino Juncal; Sendero along Estero Mardones","CHL",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-69.487088,-36.022325,"Astragalus cruckshanksii",2626425302,"","ARG",134,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-68.531111,-35.628056,"Astragalus cruckshanksii",1258079034,"Subida desde Ruta Provincial 180 a Cerro El Nevado.","ARG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-69.515987,-33.61428,"Astragalus cruckshanksii",4018249113,"","ARG",15,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.216667,-33.383333,"Astragalus cruckshanksii",2626924719,"Chile. Region of Valparaiso, east of the city of Los Andes, along the road to Paso Los Libertadores, 2 km. from the border with Argentina.","CHL",NA,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LATITUDE;PRESUMED_NEGATED_LONGITUDE;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-69.583333,-34.166667,"Astragalus cruckshanksii",1258077418,"Los Paramillos, camino a Lag. Diamante.","ARG",NA,1989,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-70.34473,-39.021184,"Astragalus cruckshanksii",3963527408,"","ARG",488,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.05,-29.85,"Astragalus cruckshanksii",1936614076,"IV Región. Cordillera Doña Ana","CHL",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-71.083418,-37.87456,"Astragalus cruckshanksii",3963272426,"","ARG",15,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.1659,-33.9602,"Astragalus cruckshanksii",2235625449,"Cruz de Piedra","CHL",NA,2017,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
-65.1361,-43.0919,"Astragalus cruckshanksii",1675800575,"Depto.: Rawson. Playa Santa Isabel, 5 km al sur de Rawson","ARG",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-70.313068,-35.896554,"Astragalus cruckshanksii",3039236530,"","ARG",1595,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.098544,-39.935625,"Astragalus cruckshanksii",3994249344,"","ARG",20,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.125343,-35.144323,"Astragalus cruckshanksii",2963885368,"","ARG",31,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.033,-29.833,"Astragalus cruckshanksii",3808197391,"Baños del Toro","CHL",NA,1970,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-70.417,-32.7,"Astragalus cruckshanksii",3808197579,"Maitenes","CHL",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-70.728333,-47.029167,"Astragalus cruckshanksii",2251612432,"Ruta Nacional nº 40 entre Perito Moreno y Bajo Caracoles","ARG",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.819167,-45.224444,"Astragalus cruckshanksii",2251611630,"Camino a Comodoro Sarmiento. Cañadon El Trebol","ARG",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.623333,-45.506944,"Astragalus cruckshanksii",2251612161,"Ruta Provincial nº 27 hacia Río Chico a unos 10 km del cruce con la Ruta Nacional nº 3","ARG",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.774167,-43.970278,"Astragalus cruckshanksii",2251611667,"A 5 km al oeste de Paso de Indios","ARG",NA,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.936389,-45.831111,"Astragalus cruckshanksii",2251612372,"Ruta Provincial nº 26, El Trebol","ARG",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.536389,-45.959167,"Astragalus cruckshanksii",2251612274,"Comodoro Rivadavia, Punta Marqués","ARG",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-70.012428,-33.634085,"Astragalus cruckshanksii",3415362815,"","CHL",344,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.137444,-32.825405,"Astragalus cruckshanksii",3325527324,"","CHL",10,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-69.382233,-34.245269,"Astragalus cruckshanksii",3325550331,"","ARG",414,2004,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
