"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-115.643889,36.223056,"Astragalus minthorniae",1846507660,"E slope of Charlestone Mountains, Trout Creek, 1 mile below ranch houses.","USA",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.508611,35.981667,"Astragalus minthorniae",1846507682,"Mt. Potosi road, about 2 miles S of Mt. Springs Summit Hwy, Spring Mountains.","USA",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.01,39.15,"Astragalus minthorniae",1928207640,"West side of Ward Mountain. Terrace Road. 1.2 road miles from Highway 6","USA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-114.848056,39.039722,"Astragalus minthorniae",1930454743,"East base of Egan Range, road into Willow Creek Basin, 1/2 mile west of Cave Valley road","USA",NA,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-113.6933,37.3594,"Astragalus minthorniae",1928042300,"Ca. 1.5 miles north of Veyo, along Utah Highway 18","USA",NA,1968,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-115.8431,36.2883,"Astragalus minthorniae",1930640055,"Road on east side of Wheeler Wash between Clark Canyon and Wallace Canyon, southwest side of Spring Mountains northeast of Pahrump","USA",NA,1980,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-114.890028,38.232528,"Astragalus minthorniae",1930125223,"Schell Creek Range, Silver King Pass on road from Bristol Wells to White River Valley","USA",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-115.377956,37.606313,"Astragalus minthorniae",4061102779,"Basin and Range National Monument. Mt. Irish. Off of Logan Rd., at Shaman Knob Petroglyph Site and disperse campsite. ~2.2mi by air southeast of Logan Pass in Logan Creek (Dry).","USA",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-117.9789,37.0637,"Astragalus minthorniae",3053375946,"Saline Valley Rd, 8.9 mi S of Saline Valley-Eureka Valley Rd, 5 mi N of Waucoba Spring Rd","USA",400,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.57095,35.53725,"Astragalus minthorniae",3053477224,"Clark Mtn range, NE end of range in Forsellesia Cyn, growing at base of NE-facing limestone outcrops","USA",200,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.531617,35.431117,"Astragalus minthorniae",3053474762,"Ivanpah Mtns, SE end of Mescal Range above Iron Horse Mine, N-facing rocky limestone slopes.","USA",200,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-114.161,35.4015,"Astragalus minthorniae",3125249236,"Cerbat Mountains, 2.6 miles east of Chloride.","USA",NA,1997,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.24731,35.28228,"Astragalus minthorniae",3125192351,"28 miles north of Goffs","USA",NA,1965,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.4999,36.0063,"Astragalus minthorniae",1930398326,"Springs Mts., 0.4 road mile east of Mountain Springs Summit","USA",NA,1985,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-115.32,38.32,"Astragalus minthorniae",1930126232,"White River Valley, 2.5 air miles south of Forest Home Ranch","USA",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-115.7358,36.4161,"Astragalus minthorniae",1931363118,"Charleston Mts., Cold Springs field station","USA",NA,1982,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-115.5714,36.07925,"Astragalus minthorniae",1928361147,"Spring Mountains, Lovell Canyon road, 4.1 road miles north of Route 160","USA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-116.053957,37.053407,"Astragalus minthorniae",3068383345,"W. Yucca Flat drainage basin, abundant between Area 16 tunnel and Tippipah Spg, below ne. face of Shoshone Mtn","USA",4216,1969,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-115.335672,38.362603,"Astragalus minthorniae",3032004154,"","USA",27,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-118.039733,37.161278,"Astragalus minthorniae",3456305583,"","USA",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-115.679633,36.303707,"Astragalus minthorniae",2856704369,"","USA",352,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
