"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-115.069722,38.419444,"Astragalus toanus",1846507937,"N of Adams-McGill Reservoir, about 2 mi W of SR 318; in the White River Valley","USA",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-108.91517,46.56886,"Astragalus toanus",1931145475,"11 miles east of Utah-Nevada line, along Highway 30","USA",NA,1983,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-113.8486,41.4067,"Astragalus toanus",1929007984,"Great Salt Lake Desert, Rabbit Springs area, 2.6 km (1.6 mi) south of State Route 30","USA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-113.37,36.56,"Astragalus toanus",1929528309,"East flank of Diamond Butte, Mohave Strip","USA",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-114.67,41.42,"Astragalus toanus",1928861082,"Thousand Springs Valley, north of Wells, and north of Winecup Ranch","USA",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-117.36,43.92,"Astragalus toanus",1930819041,"Sand Hollow Road, southwest of Vale","USA",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-114.47333,39.06222,"Astragalus toanus",3125251241,"Spring Valley: Hwy 50, 4.0 - 4.6 miles east of Hwy 893 junction, c. 1 mile WSW of Crystal Queen Mine.","USA",NA,1990,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.79,42.82,"Astragalus toanus",1929321397,"Bruneau River Valley, proposed Sugar Valley Badlands Research Natural Area, ca. 4 airmiles southwest of Bruneau","USA",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-114.94,42.8,"Astragalus toanus",1929803940,"Sagebrush steppe of Snake River Plain, uplands along Snake River, ca. 3.4 air-km. WSW from center of Hagerman, on sideslope of gulch, at roadside edge of site, in Hagerman Fossil Beds National Monument","USA",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-119.22,38.8,"Astragalus toanus",1928515803,"Wilson Canyon, north end of the Pine Grove Hills, south of highway 3","USA",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-116.00328,42.81503,"Astragalus toanus",1930948885,"Ca. 1.5 miles north of Little Jacks Creek via Vaught Road","USA",NA,1998,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-114.49,38.9,"Astragalus toanus",1931092404,"Spring Valley, 1.3 miles east of Highway 93 on road to North Spring in Baking Powder Flat","USA",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-114.93,42.89,"Astragalus toanus",1930673580,"In the Snake River Canyon upstream from Shoestring Bridge south of Bliss","USA",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-115.116667,42.9,"Astragalus toanus",1986950362,"Shoestring Road","USA",NA,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-116.8,43.2,"Astragalus toanus",1986973484,"Along road to Reynold's Creek from murphy White Hill Road 14 miles from Murphy","USA",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-113.950556,41.863889,"Astragalus toanus",2273828493,"Grouse Creek Mountains, ca. 5.4 miles N of Grouse Creek","USA",50,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-114.109289,41.913523,"Astragalus toanus",3032006278,"","USA",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-115.908224,42.798557,"Astragalus toanus",441700736,"Idaho Highway 51 8 miles southwest of Bruneau.","USA",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-115.854791,39.185913,"Astragalus toanus",3802479606,"","USA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-114.07,41.35,"Astragalus toanus",1928433093,"Tecoma Valley, east side of Dake Reservoir, west of Route 233 (formerly Route 30)","USA",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-115.52,39.37,"Astragalus toanus",1930526567,"Newark Valley, 2.3 road miles south of highway 50 on road to Belmont Mill","USA",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-117.89305,38.62777,"Astragalus toanus",2270498212,"Stewart Valley, 17 mi 174 degrees from Gabbs,","USA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-114.56,41.5,"Astragalus toanus",2270499208,"Thousand Spring Creek road, 12.5 miles northeast of U.S. Highway 93 turnoff (near Thousand Springs Creek Trading Post)","USA",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-116.791667,39.995833,"Astragalus toanus",2270500536,"Toiyabe Range, Dry Canyon, 38.5 miles & 23° from Austin","USA",NA,1979,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-113.9,41.75,"Astragalus toanus",1929441501,"Dry Canyon Mountain. Dirt road parallel to Dry Canyon, 3 miles from paved road. Goose Creek Mountains","USA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-115.05,38.74,"Astragalus toanus",1929222232,"White River Valley, ca. 1/2 mile west of Ruppes Boghole","USA",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-113.809467,41.419942,"Astragalus toanus",1931211851,"7 miles northeast of Lucin beside state road #70","USA",NA,1957,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-113.377969,41.823434,"Astragalus toanus",240488954,"NV border, 13 mi E on UT 30","USA",1133,1970,"PRESERVED_SPECIMEN","AMBIGUOUS_COLLECTION"
-113.842916,39.012946,"Astragalus toanus",1927838073,"Baker, 15 miles east","USA",NA,1968,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-117.2,44.08,"Astragalus toanus",1931140600,"Henry's Gulch, sandy ridges and draws northeast of Vale","USA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-116.101234,42.843915,"Astragalus toanus",3820530000,"along Mud Flat Road, 9 mi. from Rt. 78.","USA",805,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-117.150556,44.054611,"Astragalus toanus",3820536604,"Haliday Road, 6.4 km north of Hwy. 26; BLM land.","USA",805,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-116.38,43.03,"Astragalus toanus",1927941024,"1/2 mile east of Oreana on the south side of the Oreana Shortcut Road","USA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-113.9897,38.8328,"Astragalus toanus",1930457326,"5-10 miles southeast of Garrison along Highway 21","USA",NA,1977,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-114.51,38.77,"Astragalus toanus",1930316253,"Spring Valley, south end of Baking Powder Flat, 3.7 road miles east of US 93 on South Highline Road","USA",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-113.825097,41.766628,"Astragalus toanus",1930474280,"Kimbell Creek drainage at mouth of Canyon","USA",NA,1982,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-111.077472,38.223778,"Astragalus toanus",2430434735,"Fremont River drainage: Near Nodom, north of Burro Wash. East of Capitol Reef Nat. Monument.","USA",6000,1969,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-114.518333,39.048889,"Astragalus toanus",2989941896,"Spring Valley: near Hwy 6/50 and Rattlesnake Knoll, 4.5 mi. triangle transect. Valley bottom. 1 km N of hwy.; Majors Place 7.5' Q.","USA",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-114.17,41.53,"Astragalus toanus",1929551206,"0.5 mile southwest of Crittenden Res., east slope of the Mountain Range","USA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-113.052922,41.476021,"Astragalus toanus",1838280051,"No locality information available","USA",NA,1970,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.3069,42.932,"Astragalus toanus",4069012388,"Southeast of Oreana on Oreana cutoff road, up Birch Creek about 1 mile from where road crosses creek.","USA",56,2006,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-117.89305,37.62777,"Astragalus toanus",1258927267,"Stewart valley. 17 Mi from gabbs, low hills of white tuffaceous sedimentary Materials that weathered to badlands, clay soil, violently effervescent with 10% Hcl and ph 8-8.4 from 0-20, 2.5 of soft loose material over hard blocky Greenish-white when moist clay, with scattered juniper, atriplex confertifolia And stanlea pinnata.","USA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-116.304717,42.7534,"Astragalus toanus",4068903241,"Mud Flat Road, 21 miles from Rt. 78 intersection","USA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-113.571667,42.341667,"Astragalus toanus",4068934973,"","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-116.142655,42.593063,"Astragalus toanus",1838280365,"No locality information available","USA",NA,1971,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-114.77,41.51,"Astragalus toanus",1931242102,"5.8 road miles north of the Winecup Ranch road on highway 93 from Wells to Jackpot","USA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-110.705384,38.553208,"Astragalus toanus",2430222709,"San Rafael Desert: Goblin Valley.","USA",2000,1969,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-117.528871,43.700474,"Astragalus toanus",4069849029,"Sand Hollow Rd., SW of Vale.","USA",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-115.12444,42.08361,"Astragalus toanus",4069833573,"Along Mud Flat Road, 9 mi. from Rt. 78.","USA",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
