"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-56.601944,-21.392778,"Axonopus comans",2612205771,"Fazenda Gramado. Banhado do Rio da Prata.","BRA",NA,2016,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-54.790833,-20.558889,"Axonopus comans",2451461714,"Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","BRA",NA,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-56.833889,-21.05,"Axonopus comans",2451461614,"Fazenda Baía das Garças, divisa com Fazenda Princezinha.","BRA",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-56.769722,-21.119167,"Axonopus comans",2237757658,"Fazenda Laudejá, 1 Km próximo a ponte do rio Perdido, rodovia MS-382, entorno do Parque Nacional da Serra da Bodoquena.","BRA",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-51.538333,-19.835833,"Axonopus comans",2451457122,"Fazenda Ponte Nova (Fazenda do Lageado), nascente de córrego que deságua no Córrego do Lageado.","BRA",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-53.163056,-18.986944,"Axonopus comans",2237723616,"Rio Sucuriú, cerca de 500 m da ponte da cachoeira, lado direito do rio.","BRA",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-53.704444,-18.115556,"Axonopus comans",2612211483,"Fazenda Harmonia, 1,5Km Leste da sede; Buritizal próximo a Serra do Bom jardim.","BRA",NA,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-47.905555,-14.929166,"Axonopus comans",4037864583,"Fazenda Água Limpa, divisa com o Cristo Redentor (Jardim Botânico de Brasília) e o IBGE, na borda da mata de galeria do córrego Taquara .","BRA",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-54.115,-19.645,"Axonopus comans",1265927400,"Km 216 da BR - 060, cerca de 17 km a sudoeste de Camapuã.","BRA",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-47.905556,-15.929167,"Axonopus comans",2365700621,"Fazenda Água Limpa","BRA",NA,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-51.222222,-6.346389,"Axonopus comans",1087650379,"Serra do Tarzan, brejo sobre canga","BRA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION"
-50.172222,-6.153611,"Axonopus comans",1087656272,"N7, Campo graminoso sobre canga.","BRA",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION"
-48.7925,-17.016667,"Axonopus comans",3397877633,"","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-47.905556,-15.593055,"Axonopus comans",1213566394,"Fazenda Água Limpa (FAL).","BRA",NA,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-46.906667,-11.128056,"Axonopus comans",1213669779,"Estação Ecológica Serra Geral do Tocantins.","BRA",NA,2014,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-47.565,-15.505556,"Axonopus comans",1087232757,"Árie Santuário de Vida Silvestre do Riacho Fundo.","BRA",NA,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-52.25,-15.88333,"Axonopus comans",1257904890,"Vicinity of Barro do Garças. Burned-over campo, ca 50 km N of Barra do Garças on road to Xavantina.","BRA",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-48.405833,-15.931944,"Axonopus comans",2452906263,"Reserva Ecológica do IBGE, Área do Córrego da Taquara.","BRA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-45.920556,-15.405556,"Axonopus comans",2452893746,"Parque Nacional Grande Sertão Veredas, Nascente do Rio Preto; Vereda do Veado; área mais próxima dos buritis","BRA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-47.583611,-15.463056,"Axonopus comans",2996895821,"Parque Nacional de Brasília","BRA",NA,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-50.165556,-6.023056,"Axonopus comans",2996896546,"FLONA de Carajás- área N1.","BRA",NA,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
