"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-83.56,8.71,"Balizia elegans",1258468998,"Los Mongos. Santa Cecilia.","CRI",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-85.949889,13.851944,"Balizia elegans",1264719103,"10.6 km N of La Victoria along road to Quebrada Negra; cloud forest scrap on a schist ridge","NIC",NA,2016,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-64.066667,-10.15,"Balizia elegans",2998482436,"BR 364, estrada Cuiabá-Porto Velho, Km 542, linha C-85, travessão B-40 .","BRA",NA,1984,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-83.49,9.49,"Balizia elegans",1261463329,"Reserva Indígena Talamanca Camino a Soki entre la quebrada Amubri, margen izquierda de Río Lari.","CRI",NA,1989,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-63.233333,-9.033333,"Balizia elegans",1931032403,"Represa Samuel: forest along dike extension S of hills at end of main dike.","BRA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-63.870308,-8.754481,"Balizia elegans",1077304670,"Rio Madeira.","BRA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-64.95,-9.646944,"Balizia elegans",1077304297,"Rio Mutum Paraná.","BRA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-59.7,7.37,"Balizia elegans",1931122128,"Kariako, Barama River, North-West District","GUY",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-55.83,-9.469278,"Balizia elegans",1042638083,"Novo Mundo, Parque Estadual Cristalino. Serra à sudeste da pousada, à oeste da estrada de terra. Mata alta de encosta.","BRA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-65.1,-9.623056,"Balizia elegans",1042692926,"UHE Jirau, Ramal Primavera - BR 364 - rio Madeira. km 8,5.","BRA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-59.97,-2.883333,"Balizia elegans",1042537870,"Reserva Florestal Adolfo Ducke","BRA",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-55.4905,-9.2809,"Balizia elegans",1090627008,"Parque Estadual do Cristalino, Parque Estadual Cristalino. Serra à sudeste da pousada, à oeste da estrada de terra.","BRA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-55.010833,-2.930833,"Balizia elegans",3800709658,"Floresta Nacional de Tapajós. Ramal do ICMBio no km 72. Margem do Rio Tapajós, próximo à comunidade de Jaguari.","BRA",NA,2019,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-64.482777,-9.272222,"Balizia elegans",1095255671,"Ao longo da BR - 364, 8 km a oeste de Jaci Paraná. Ramal em direção à linha de transmissão, 500m ao sul, fazenda Carvalho.","BRA",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-62.958831,-9.38415,"Balizia elegans",1929644601,"Floresta Nacional do Jamari, departing from km 574 of BR-364 (= 28 km W of Itapuã do Oeste), ca. 20 km on P-1 access road at base of AMATA company.","BRA",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-84.416667,11.05,"Balizia elegans",1261543546,"2 km al NW del Río Santa Cruz","NIC",NA,1984,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-84.05,14.466667,"Balizia elegans",1258693627,"Francia Sirpi, 30 km SO de Waspán; bosque hidrofitico","NIC",NA,1971,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-59.888583,-2.429224,"Balizia elegans",1928823700,"Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, then 23 km east on ZF3, Fazenda Colosso. Reserva 1202.","BRA",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-63.4547,-8.7517,"Balizia elegans",1929683318,"Área do Reservatório da Usina Hidrelétrica de Samuel.","BRA",NA,1986,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-73.37583,-3.82611,"Balizia elegans",1261496966,"Primary forest at Puerto Almendra, SW of Iquitos on Río Nanay.","PER",NA,1972,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-84.16,10.7,"Balizia elegans",4031966289,"Llanura de San Carlos, Boca Tapada, carretera al Río San Juan, Finca Hogar de Ancianos","CRI",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-84.0083,10.0417,"Balizia elegans",1930751946,"Reserva Florestal Cordillera Volcanica Central, lower edge of reserve,along Braulio Carrillo highway.","CRI",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-84.00361,10.43138,"Balizia elegans",1259535957,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.","CRI",NA,1982,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-83.37,8.75,"Balizia elegans",45805285,"R. F. Golfo Dulce Los Mogos.","CRI",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-84,10.03,"Balizia elegans",45805077,"Cordillera Volcánica Central. Lower edge of reserve, along Braulio Carrillo highway, on steep hills rising immediately from Río Sucio flood plain, Finca of Mora Family.","CRI",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-82.84,9.64,"Balizia elegans",44322798,"Fila Carbon. Finca de Pedro Bolivar.","CRI",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE"
-67.983333,-11.733333,"Balizia elegans",4061268974,"35 km al norte de Puerto América, entrando bsque alto cerca Alianza X-1, pozo antigua de Mobil, con Bertholettia, Couratari, Eschweilera, Apuleia, Hymenaea, Hymenolobium, Enterolobium, Parkia, Poeppigia, Myroxylon, Amburana, Tetragastris, Mezilaurus, Brosimum, Pseudolmedia, Castilla, Aspidosperma, Diploon, Pouteria, Microphilis, Chrysophyllum, Hevea, Glycidendron, Virola, Iryanthera, Picramnia, Chorisia, Ceiba, Cedrela, Cabralea, Iriartea, Chelyocarpus.....Substrato ultisol con mucho hierro.","BOL",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-85.066667,13.626667,"Balizia elegans",1258218428,"Caño El Ocote","NIC",NA,1983,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-83.51,10.36,"Balizia elegans",1261449608,"Lomas de Sierpe 5 Km Noreste de La Aurora, Guápiles. Límite Sur Parque Nacional Tortuguero, junto al Río Sierpe.","CRI",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-84.8333,10,"Balizia elegans",1847939317,"Puntarenas","CRI",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;AMBIGUOUS_COLLECTION"
-68.2967,-10.5661,"Balizia elegans",1928555825,"Reserva Extrativista Chico Mendes, Seringal Dois Irmãos, Colocação Já Começa","BRA",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-83.45,10.033333,"Balizia elegans",1253774508,"Region of woodland ponds and swales in in mostly primary forest, between headwaters of Rio Madre de Dios and Quebrada Barreal.","CRI",NA,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-84.833333,15.05,"Balizia elegans",1056755489,"","HND",NA,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-45.0711,-23.4339,"Balizia elegans",1090548831,"Alto da Serra","BRA",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-48.464722,-3.294444,"Balizia elegans",2302459010,"Área de exploração 2002.","BRA",NA,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-63,-10.15,"Balizia elegans",912655195,"Lat/Long: 10[deg] 9' S, 63[deg] 64' W; BR 364, estrada Cuiabá-Porto Velho, Km 542, linha C-85, travessão B-40 .","BRA",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
