"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
29.3482,-0.3392,"Baphia punctulata",3476772929,"","COD",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
38.96083,-8.31583,"Baphia punctulata",1258774783,"Kiwengoma Forest, near WWF Office.","TZA",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
29.516667,-3.233333,"Baphia punctulata",2268948080,"Rugazi.","BDI",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
29.676453,-4.878413,"Baphia punctulata",3863879144,"Tubila railway station","TZA",NA,1954,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
29.633064,-4.877471,"Baphia punctulata",4014175838,"West of Uvinza","TZA",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
30.15388,-5.37916,"Baphia punctulata",4061005619,"Kasakati Forest, South of Japanese Camp. Brachystegia woodland.","TZA",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
29.9,-5.716667,"Baphia punctulata",1260621336,"Kasye Village. Julbernardia unijugata-Baphia punctulata scrub on steep slopes along Lake Tanganyika.","TZA",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
30.16666,-5.03333,"Baphia punctulata",4061823380,"Near Tubila railway station","TZA",NA,1956,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.483333,-10.05,"Baphia punctulata",1260350355,"Eastern side of Lake Lutamba, Litipo Forest Reserve.","TZA",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
29.86666,-6.41666,"Baphia punctulata",4061060668,"Mahali Mts., Silambula","TZA",NA,1958,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
30.6675,-6.16361,"Baphia punctulata",1052049552,"Mpand District. T4. Mpembe Village, near Kamongo Ridge, ca. 8.5 km from village","TZA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
39.74722,-9.73083,"Baphia punctulata",4061019863,"T8. Mchinga Division, Kilangala Village, along dry valley running down from Ruawa Forest Reserve, near main road to Lindi from Kilwa, NW of Kilingala Primary School, around village near spring. Disturbed riverine ground water forest dominated by Trema orientalis, Markhamia sp., and Vernonia amygdalina.","TZA",NA,2003,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
29.58333,-4.66666,"Baphia punctulata",1260621341,"Gombe Stream Reserve: upper Mkenke at bottom of waterfalls. Riverine forest. Common species Newtonia, Acalypha and ferns.","TZA",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
30.57583,-5.44916,"Baphia punctulata",4061572523,"T4. Tongwe Forest, Issa River, along river, Transect #3, Plot #6, Kabamba riverine forest. Collected with A. Hernández A., H. Katandasha & Busoti.","TZA",NA,2002,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
