"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-111.99111,36.24306,"Beckmannia syzigachne",1846546000,"Greenland Lake, Walhalla Plateau northern end, ca. 1.5 mi southeast of road junction to Point Imperial and Cape Royale, North Rim, Grand Canyon National Park.","USA",587,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.11056,43.62149,"Beckmannia syzigachne",1846545415,"1 mile N of Victor.","USA",1617,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.0272,35.04,"Beckmannia syzigachne",1846488798,"Above Tule Canyon; White Tail Tank; ca. 2 k S of J.D. Dam Lake; T19N R3E NE1/4NW1/4 Sec 12; N 38 78 400, E 4 06 000;","USA",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.0021831,36.2568912,"Beckmannia syzigachne",1846478613,"Vicinity of Neal Spring. UTM: 12S 410050E 4012697N NAD27","USA",1985,2007,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
136.935046,37.235687,"Beckmannia syzigachne",1828810204,"","JPN",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_NONE"
-156.183,62.9246,"Beckmannia syzigachne",3897770361,"Takotna River, 6 aerial miles SW of Takotna village and 18 miles W of McGrath.","USA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-111.461667,43.140556,"Beckmannia syzigachne",1930016162,"Grays Lake Valley, Grays Lake Road, 3 km (1.9 mi) east of the junction with Westside Road, 20 km (12.5 mi) air distance north-northwest of Wayan","USA",NA,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-107.658689,37.729454,"Beckmannia syzigachne",1930758766,"San Juan National Forest. Elk Park, near hiker's bridge, along the railroad tracks. UTM 13S 265698E 4179126N.","USA",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-116.1341,41.6255,"Beckmannia syzigachne",1929366019,"Bull Run Mts., meadow areas at the east end of the Bull Run Reservoir.","USA",969,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-119.0017,41.8436,"Beckmannia syzigachne",1928602069,"Virgin Valley, west entrance to Thousand Creek Gorge, 1 air miles east of Range HQ Duffurena Ranch.","USA",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-109.568627,43.42409,"Beckmannia syzigachne",1929472182,"SE edge of trail lake at inlet of Torrey Creek, ca 8.2 air mi SSE of Dubois, ca 6.9 mi S on Trail Lake Rd. South of road to head of Glacier Trail, near creek bank","USA",NA,1985,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-106.567959,44.309436,"Beckmannia syzigachne",1927954400,"ca 7 air mi ESE Buffalo. Around Dry Creek","USA",NA,1979,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
107.75,34.28,"Beckmannia syzigachne",4043831198,"","CHN",NA,1957,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
