"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
116.542162,6.014443,"Begonia beryllae",3456007356,"","MYS",1384,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
116.533333,6,"Begonia beryllae",2516421982,"Malaysia Sabah, Ranau District: Crocker Range At TEnompok on S side of Mnt Kinabalu","MYS",NA,1984,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.35,5.766667,"Begonia beryllae",2514410114,"Malaysia Sabah, Tambunan District, Crocker Range, Km 64 on Kota Kinabalu - Tambunan rd","MYS",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.158333,5.341667,"Begonia beryllae",2516419966,"Near Highland Plantation, Ranau","MYS",NA,1986,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.783333,5.333333,"Begonia beryllae",2514389103,"Kinabalu National Park, Liwagu and Bt Brong trail near HQ","MYS",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.116666,5.916666,"Begonia beryllae",2514417076,"Penampang, Between Agr exp station and Kpg Garib, Mts Alab","MYS",NA,1968,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.366667,5.85,"Begonia beryllae",2516437979,"Gn Alab Range, Tambunan","MYS",NA,1984,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.405,6.324167,"Begonia beryllae",2514309096,"Above Kg. Paka.","MYS",NA,1989,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.333333,5.833333,"Begonia beryllae",2516198014,"G Alab, Malaysia Sabah","MYS",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.68333,6,"Begonia beryllae",1989420078,"Contact UM Herbarium","MYS",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
