"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-74.403778,4.827653,"Begonia cornuta",3109284460,"","COL",32,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-73.110111,5.949806,"Begonia cornuta",1269773171,"Páramo de la Rusia - Virolín, vereda El Carmen","COL",NA,2015,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE"
-72.779389,6.221944,"Begonia cornuta",1269774953,"Vereda Chaguaca","COL",NA,2015,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE"
-73.10125,5.429972,"Begonia cornuta",1269771166,"Vereda La Carbonera","COL",NA,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED"
-72.678889,5.285417,"Begonia cornuta",1707508831,"Pajarito","COL",NA,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-73.46071,5.778828,"Begonia cornuta",1844911304,"Selvas de Arcabuco.","COL",682,1968,"PRESERVED_SPECIMEN",""
-73.167747,5.16939,"Begonia cornuta",1844948053,"SW de Miraflores.","COL",3797,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED"
-72.70146,5.432882,"Begonia cornuta",1890932494,"Vereda Comijoque.","COL",190,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
-73.249639,6.045778,"Begonia cornuta",1934694398,"Vereda Poleo Alto, sector suroccidental de la cuchilla El Fara.","COL",7820,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COORDINATE_PRECISION_INVALID"
-74.207599,5.011577,"Begonia cornuta",3097061453,"","COL",61,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-73.0564,5.82527,"Begonia cornuta",1315041804,"Vereda El Carmen en la via a Virolin.","COL",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-73.2219,5.99722,"Begonia cornuta",1315031304,"Sitio El Bogotacito, despues de El Taladero, via El Carmen-Virolin.","COL",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-72.0984,6.77764,"Begonia cornuta",1315031303,"Sierra Nevada del Cocuy, via de Pachira a Bocota.","COL",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-74.1505,5.02511,"Begonia cornuta",1315031242,"Cerros al noroccidente de La Pradera.","COL",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-72.883333,10.416667,"Begonia cornuta",3872860768,"Sabana Rubia, Casa de Vidrio, a la orilla del camino entre Casa de Vidrio y Cerro del Avión","COL",NA,1993,"HUMAN_OBSERVATION","COORDINATE_ROUNDED"
-75.408726,4.996353,"Begonia cornuta",1576185496,"Carretera a Termales del Ruíz","COL",4344,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE"
