"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
120.166667,-1.216667,"Begonia cristata",2514345124,"Indonesia, Sulawesi Tengah, Tongoa, G. Potong, 1.13.842' S; 120.10.435' E","IDN",NA,2001,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
123.667,0.6833,"Begonia cristata",1317636441,"Sulawesi utara. [island originally recorded as borneo.]","IDN",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
124.75,1.116667,"Begonia cristata",2513273141,"Minahasa","IDN",NA,1973,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
119.8,-3.216667,"Begonia cristata",2515028778,"Sulawesi Selatan, Buntu area, Kpg Lokkok.","IDN",NA,2003,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
120.8169,1.0392,"Begonia cristata",2513241528,"Bukit Dako, Ds. Lakatan.","IDN",NA,1985,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
123.366667,0.533333,"Begonia cristata",575216569,"Route along the Olama river to Gunung Gambuta","IDN",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.5,0.883333,"Begonia cristata",575106711,"Gunung Boliohutu","IDN",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
125.0311,1.453359,"Begonia cristata",2513274884,"Minahasa. N. slope of Mount Klabat.","IDN",NA,1956,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
120.066667,-2.95,"Begonia cristata",2514891799,"Sulawesi Selatan, Tanah Toraja, Rantepao-Palopo divide, E slope.","IDN",NA,2004,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
124.803789,1.316782,"Begonia cristata",2514360096,"","IDN",NA,1954,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
123.95,0.45,"Begonia cristata",2513273474,"Bolaang Mongondow, Dumoga Bone National Park.","IDN",NA,1985,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
124.798966,1.364249,"Begonia cristata",2513271556,"Minahasa. Mount Lokon, near Tomohon.","IDN",NA,1956,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
120,-0.883333,"Begonia cristata",2513242364,"Northern Peninsula, between Palu and Parigi, 35 km from Palu.","IDN",NA,1975,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
120.008333,-3.4,"Begonia cristata",2513273696,"Gowa subcamp.","IDN",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
