"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
10.53556,0.46806,"Bikinia durandii",4061721141,"Connssession de la SEEF à Nzamaligué.","GAB",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
11.0167,-1.03333,"Bikinia durandii",2269012202,"4 km NE of Ikobey.","GAB",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
10.45277,-1.18679,"Bikinia durandii",4061119365,"Concession forestière (EFT).","GAB",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
10.4,0.633333,"Bikinia durandii",4061304879,"Crystal Mountains, Tchimbélé.","GAB",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
11.1753,-1.0785,"Bikinia durandii",4061305678,"c. 3 km SW of Evouta, along Oumba River.","GAB",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
10.5333,-1.20333,"Bikinia durandii",4061320332,"Fougamou, 8 km on forestry road following Bendolo river.","GAB",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
10.3333,-0.083333,"Bikinia durandii",2269002204,"Bokoué","GAB",NA,1952,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
10.24422,0.38536,"Bikinia durandii",4061366750,"Monts de Cristal, site du chantier du barrage hydroélectrique de Kinguélé Aval.","GAB",NA,2020,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
11.9167,-0.683333,"Bikinia durandii",2269000788,"Makande surroundings, c. 65 km SSW of Booué. Makande.","GAB",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
11.592357,-1.287975,"Bikinia durandii",2013827981,"","GAB",NA,2018,"HUMAN_OBSERVATION","RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES"
10.566029,-1.630595,"Bikinia durandii",2013836067,"","GAB",NA,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
10.896384,0.696178,"Bikinia durandii",2013828440,"","GAB",NA,2000,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
10.75,-0.083333,"Bikinia durandii",2517836414,"Missanga, 10-20 km N of Ndjolé.","GAB",NA,1991,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.783333,0.083333,"Bikinia durandii",2515846428,"old chantier km '18' Miélé. 16 km SW of Koumameyong.","GAB",NA,1987,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.75,-0.95,"Bikinia durandii",2269003980,"Parcel 32 of Leroy Gabon, 0°46'-1°09'S 11°30'E-Offoué","GAB",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
10.3167,0.65,"Bikinia durandii",2269009530,"N'kan (between Etsam and Méla).","GAB",NA,1959,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
10.5833,-0.083333,"Bikinia durandii",2269004860,"Crystal Mountains, Chantier CEFA (Compagnie Exploitation Forestière Africaine), Abanga.","GAB",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
10.9833,-0.716667,"Bikinia durandii",4061880339,"60km ESE of Ndjolé, along transect Z from Ikoy.","GAB",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
11.27827,-0.86123,"Bikinia durandii",1261059631,"CFAD de Rimbunan Hijau, au Sud-Ouest du Parc National de la Lopé.","GAB",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
10.75,-0.183333,"Bikinia durandii",2013856729,"Ndjolé","GAB",NA,1954,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
12.2,-0.533333,"Bikinia durandii",4061851774,"N of road Lastoursville to Ofoué, near Vouboué","GAB",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
10.38013,-1.00863,"Bikinia durandii",4061851703,"Lambaréné.","GAB",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
10.90226,0.3074,"Bikinia durandii",4061112241,"Axe routier Mboumi-Ndjolé.","GAB",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
