"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-79.142,39.699,"Brachyelytrum aristosum",1322492590,"Casselman River, Casselman Branch State Park @ 1/4 mi. up river from sewage treament plant.","USA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-80.337258,43.258468,"Brachyelytrum aristosum",3912146831,"","CAN",29,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-86.919885,46.435495,"Brachyelytrum aristosum",3986203783,"","USA",3,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-87.116409,46.355438,"Brachyelytrum aristosum",1913677688,"","USA",263,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-84.589065,47.351861,"Brachyelytrum aristosum",2626133364,"","CAN",32,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-90.362117,45.4275,"Brachyelytrum aristosum",1988210239,"Price County, Rest stop along Highway 13 27 km north of Westboro.","USA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-80.476533,38.234444,"Brachyelytrum aristosum",1988175394,"Nicholas County, 4 km east of Forest entrance on Highway 55, Monongolia National Forest, 25 km west of Cranberry Mountain","USA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-78.549017,41.169167,"Brachyelytrum aristosum",1988078432,"Clearfield County, 5 km south of Penfield on Highway 153.","USA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-89.233333,48.533333,"Brachyelytrum aristosum",1988218836,"Thunder Bay District, riverbank of current River, on Onion Lake road, Gorham Township","CAN",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-84.566667,47.233333,"Brachyelytrum aristosum",1988196116,"Montreal falls road, 1.3 miles east of highway, t. 27, R14, Algoma District","CAN",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
