"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
55.616947,-21.207074,"Brachypodium flexum",1989831964,"Nez de Boeuf, Route du Volcan.","REU",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
22.547743,-33.949519,"Brachypodium flexum",3031604348,"","ZAF",1,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.077456,-24.009128,"Brachypodium flexum",3031636569,"","ZAF",15,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
13.633333,7.216667,"Brachypodium flexum",1948891954,"","CMR",NA,1989,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
39.25,7.9,"Brachypodium flexum",2515908924,"Mt. Boruluccu, along road to Ticcio, c 25 km SE of Asella.","ETH",NA,1965,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
34.282778,-9.309167,"Brachypodium flexum",2268841786,"Njombe Region: Makete District: At 64 km W of Njombe on road towards Tandala.","TZA",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
38.1,13.233333,"Brachypodium flexum",2515908925,"Semiam Mountains. Small valley going down to main valley between Geech and Ambaras.","ETH",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
36.75,-3.233333,"Brachypodium flexum",2516199400,"Arusha Nat.Park, Mt. Meru, NE rim of crater.","TZA",NA,1977,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
33.983333,-9.333333,"Brachypodium flexum",2516024035,"Livingstone Mountains, c. 1.5 km W of church at Madihani on foot trail along top ridge of mountains.","TZA",NA,1992,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
31.676667,-7.909167,"Brachypodium flexum",2268849905,"Mbezi Forest Reserve, NE of Sumbawanga. Along road and Mwambazi creek.","TZA",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
29.95,-23.93333,"Brachypodium flexum",1838976365,"South Africa: Transvaal, Pietersburg District. 1976-04-18, Leg.: Davidson,L.E. 2965.","ZAF",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
39.78333,7.1,"Brachypodium flexum",1838976115,"Ethiopia: Dinsho. Alt.: 3170 m.1989-12-21, Leg.: Miehe,G. & Miehe,S. 45 a.","ETH",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
46.95,-19.4,"Brachypodium flexum",1988058628,"Faratsiho (Ankaratra).","MDG",5000,1955,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
55.462969,-21.136752,"Brachypodium flexum",1988060083,"Vers la Source Piment","REU",NA,1966,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
