"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
30.38333,-0.28333,"Bulbostylis hispidula",4061093590,"Buhweju Bushenyi U2 (Ankole) Nyakitaraka Karembe TQ69-09","UG",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
46.363611,-22.013889,"Bulbostylis hispidula",4061027562,"Inselberg: Bonnet du Pape, Fkt: Ifandana, Com: Zazafotsy, Dist: Ihosy, Rég: Ihorombe. RN N° 7","MG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
9.481376,-0.626281,"Bulbostylis hispidula",4061179046,"Sud de la réserve de Wonga Wongué","GA",NA,2014,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
38.602222,-10.465,"Bulbostylis hispidula",4061262226,"1.5 miles NW of Namatumbuzi.","TZ",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.499722,-18.993611,"Bulbostylis hispidula",1258109182,"Analavory, Sakay. Rivière Sakay, marais aux alentours.","MG",NA,2015,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.7375,-18.928056,"Bulbostylis hispidula",4061094665,"Manjakandriana, Nandihizana - Carion, Montagne d'Angavokely. Inselberg dominé par des tapis de mousse. Végétation lithophytique. Séchage directe.","MG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-2.09833,7.76166,"Bulbostylis hispidula",4061611858,"On Wenchi Farm Institute, near Wenchi.","GH",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
47.147778,-18.511667,"Bulbostylis hispidula",1258137033,"Ankazobe, Sambaina, inselberg: Ambatovoloina, ca. 2 km à l'ouest du PK 67 sur la RN 4.","MG",NA,2015,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-105.281,22.3143,"Bulbostylis hispidula",2807279390,"13.3 mi SSE Acaponeta along Méx Hwy 15","MX",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-105.376,22.4821,"Bulbostylis hispidula",2807330135,"Ca 2 Km SW Acaponete","MX",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-105.288189,22.336158,"Bulbostylis hispidula",1895355852,"13.3 mi SSE Acaponeta along Méx Hwy 15","MX",80,1966,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
