"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
130.696207,-16.659578,"Cajanus crassicaulis",2850163418,"Gregory National Park vegetation and landunit survey","AUS",2,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.3167,-16.48,"Cajanus crassicaulis",2435685416,"Gregory National Park. 100 m downstream from waterfall, gorge top and slopes, c. 45 km SSW of Bullita outstation.","AUS",1000,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
128.3361,-17.3392,"Cajanus crassicaulis",2438915590,"Bungle Bungle Natl Park, WNW of Bungle Bungle Outcamp beside Red Rock Creek.","AUS",1000,1999,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
128.866667,-17.733333,"Cajanus crassicaulis",2830757235,"Boundary of Ord River Station and Nicholson River Station, c. 39 km S of Forrest Creek crossing on the Duncan Highway.","AUS",5000,1977,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.90384,-17.13162,"Cajanus crassicaulis",2853744031,"500 m from SE corner of Marion Downs Station","AUS",100,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
127.597749,-18.563972,"Cajanus crassicaulis",3777300701,"Site TAN26, 6.0 km NW of Ruby Plains Homestead, 28.3 km SE of Lamboo Homestead, 38.4 km SSW of Halls Creek","AUS",100,2020,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
127.986911,-18.305967,"Cajanus crassicaulis",3777337156,"S of Elvire Gorge, IBRA Region: OVP","AUS",100,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
128.25,-17.266667,"Cajanus crassicaulis",2854251659,"Whale Mouth Cave, Osmond Range","AUS",NA,1991,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
128.433333,-17.275,"Cajanus crassicaulis",2830447829,"South-east Kimberley. 5.5 km south of Samim mining camp (at Swamp Creek crossing) on Winnama Gorge - Bungle outcamp track.","AUS",50,1984,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
134.766667,-16.016667,"Cajanus crassicaulis",2830670159,"Cox River.","AUS",1000,1977,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
137.716667,-17.766667,"Cajanus crassicaulis",2827986795,"Barkly Tableland, Nicholson River area, above Fish River in China Wall.","AUS",1000,1974,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.02132,-17.57491,"Cajanus crassicaulis",2854222052,"Leake Gorge. Mornington Sanctuary","AUS",100,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.484458,-16.677777,"Cajanus crassicaulis",2850232711,"Gregory National Park vegetation and landunit survey","AUS",2,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
128.263889,-16.6325,"Cajanus crassicaulis",2854433704,"Argyle Iron Ore deposit, southern-central end of deposit. On W side of the Ragged Range, 5 km E of Pompeys Pillar","AUS",100,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
129.18402,-15.62352,"Cajanus crassicaulis",2826674293,"Keep R. NP","AUS",10,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
129.316111,-17.376389,"Cajanus crassicaulis",2826837692,"6 km S of Nelson Springs, Mistake Creek station, Northern Territory.","AUS",10,2016,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
