"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-52.05,4.67,"Calymperes pallidum",1930298896,"Commune de Régina: Kaw Mountains, trail up Montagne Favard from Savane de Kaw","GUF",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
49,-18.92,"Calymperes pallidum",2251694218,"Toamasina. Tamatave. 22 km along road N-2 from Brickaville toward Tananarive, 155 km E of Tananarive","MDG",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-73.883333,2.316667,"Calymperes pallidum",1261702894,"Macarena, PNN Serrania La Macarena, trocha entre Río Guejar Y Cano Guapayita, extremo NE.","COL",NA,1951,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
45.15,-12.883333,"Calymperes pallidum",4060955029,"Mesic evergreen forest along ridge of Mt. Bénara W of summit. <11604-11623>","MYT",NA,1992,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-73.25,-3.76666,"Calymperes pallidum",1261623071,"Iquitos, in the garden of hospital Stahl. <6306-6326>","PER",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-64.66666,-11.01666,"Calymperes pallidum",1261728029,"Seringal Sao Luis, just below first rapids on Rio Pacasss Novos.","BRA",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-66.113056,-11.016389,"Calymperes pallidum",4031658580,"Las Ruinas, ca. a 2 km de la comunidad Las Piedras. Bosque Amazónico.","BOL",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
11.81666,-1.18333,"Calymperes pallidum",1261734966,"Dept. d'Offoue|-Onoy. Massif du Chaillu. Mont Iboundji, lower, E-facing slopes around large boulders & forest on upper slopes.","GAB",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-85.200111,12.35475,"Calymperes pallidum",4032105407,"5.4 km SE of Betulia on S (right) fork of road; roadside at moist forest patch. <14297-14309>","NIC",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
45.331111,-21.219167,"Calymperes pallidum",3312492593,"Ampasilava, ca. 10 km N of Makay","MDG",NA,2016,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
