"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-56.05,-29.914444,"Camptosema rubicundum",2998484849,"ca. 29km W de Alegrete na estrada para Uruguaiana (BR-290). Rio Inhanduí, próximo á ponte na BR-294.","BRA",NA,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-55.504167,-30.249167,"Camptosema rubicundum",2998483493,"Ca. 73km S de Alegrete na estrada para Caverá.","BRA",NA,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-58.495732,-34.469978,"Camptosema rubicundum",2803157898,"","ARG",15,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.322411,-31.815662,"Camptosema rubicundum",3383860343,"","ARG",78,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-58.350831,-34.603321,"Camptosema rubicundum",3468848099,"","ARG",229,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.061658,-32.986498,"Camptosema rubicundum",3759164507,"","URY",54,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-56.626079,-30.592311,"Camptosema rubicundum",3994170042,"","URY",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-55.340533,-34.51352,"Camptosema rubicundum",3058933941,"","URY",8,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-55.956085,-31.461244,"Camptosema rubicundum",3456729786,"","URY",61,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.517547,-32.891482,"Camptosema rubicundum",3455612462,"","ARG",204,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-57.590076,-30.354649,"Camptosema rubicundum",3759181827,"","URY",31,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-54.331245,-33.615372,"Camptosema rubicundum",3747039881,"","URY",6,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-55.258491,-34.273483,"Camptosema rubicundum",3044820330,"","URY",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-55.14583,-34.831133,"Camptosema rubicundum",4067157856,"","URY",1,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.3083,-28.9667,"Camptosema rubicundum",2270479734,"Dep. Mercedes. East of Las Delicias, cercanías del Ayo. Itá Corá.","ARG",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-58.252778,-34.183333,"Camptosema rubicundum",1806848533,"Isla Martín García, Na mata ao lado do monumento às duas bandeiras.","ARG",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-56.121111,-30.385555,"Camptosema rubicundum",2575911958,"Quatepe.","BRA",NA,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-57.169722,-19.260277,"Camptosema rubicundum",1095245714,"6,8 km a leste do Porto da Manga, a oeste da ponte sobre o rio Negro.","BRA",NA,1985,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-57.379166,-19.413055,"Camptosema rubicundum",1095245666,"Beira do rio Paraguai, nas proximidades de Vila de Albuquerque.","BRA",NA,1985,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
