"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
30.800097,-27.750558,"Canthium ciliatum",2626174459,"","ZAF",8,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.109028,-25.945908,"Canthium ciliatum",2814094927,"","ZAF",7,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.91,-32.610001,"Canthium ciliatum",3347099063,"Eastern Cape, Hogsberg, Hogsberg, forest border in open vegetation","ZAF",NA,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
26.6125,-32.6308,"Canthium ciliatum",1702791157,"Mpofu Game Reserve, old circular route, mountain slope","ZAF",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
31.15,-26.133333,"Canthium ciliatum",2515891630,"Nkaba.","SWZ",NA,1977,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
30.077461,-22.976375,"Canthium ciliatum",2517821543,"Limpopo, Vhembe, Studholme.","ZAF",NA,2010,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
30.370446,-22.894996,"Canthium ciliatum",1840904993,"South Africa, Limpopo, Tathe Vondo","ZAF",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
30.845615,-29.758882,"Canthium ciliatum",3399426990,"","ZAF",50,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.521831,-32.333048,"Canthium ciliatum",2028141446,"Eastern Cape;Quanti, Warringham","ZAF",NA,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
25.63568,-32.677216,"Canthium ciliatum",2028141505,"Eastern Cape;Somerset East, Glen Avon Falls","ZAF",NA,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
28.01666,-31.10066,"Canthium ciliatum",2517781469,"Cape Province Drakensberg Maclear Bastervoetpad. Farm: Valetta, ± 14 km SNW from Ugie.","ZAF",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
29.013806,-28.558389,"Canthium ciliatum",2515933413,"Free State. Harrismith, Sterkfontein Nature Reserve.","ZAF",NA,2002,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
30.478,-29.63,"Canthium ciliatum",1850897962,"","ZAF",110,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.245183,-23.012592,"Canthium ciliatum",4062953965,"","ZAF",4,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.866088,-24.874413,"Canthium ciliatum",2641308333,"","ZAF",6,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.811861,-24.940609,"Canthium ciliatum",1840905047,"South Africa, Mpumalanga, Graskop road from Sabie, 5km before Graskop","ZAF",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
26.37444,-32.38722,"Canthium ciliatum",2992429983,"Great Winterberg","ZAF",250,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
