"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
37.9,-4.37,"Canthium oligocarpum",1096657096,"Tanzania. Kilimanjaro: Same District. T3. South Pare Mountains. Chome-Shengena Forest Reserve. Suji Range. E side of Ngale Village.","TZA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
38.38333,-3.36666,"Canthium oligocarpum",4061080358,"Ngangao Forest","KEN",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
36.55,-7.71666,"Canthium oligocarpum",4061020942,"Udzungwa Mountains National Park; Pt 284, ridge in montane forest.","TZA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
29.583333,-3.333333,"Canthium oligocarpum",2825615962,"Ryarusera","BDI",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
29.56666,-3.48333,"Canthium oligocarpum",1261233530,"Territoire: Bujumbura. Ijenda, barrière d'amont. Lande près du ruisseau.","BDI",NA,1967,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
37.53333,-6.15,"Canthium oligocarpum",1260058200,"T6. Nguru South Forest Reserve, E-facing slopes near Mlaguzi Village, montane forest with scattered Newtonia buchananii, Parinari excelsa, Macaranga capensis and Shirakiopsis elliptica.","TZA",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
34.76666,-9.46666,"Canthium oligocarpum",1261252799,"Njombe District 12 km along Manda road near Uwemba, Afromontane undifferentiated forest. Cassipourea gummiflua, Rapanea, Diospyros whytenna, Aphloea.","TZA",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
36.957222,-6.633056,"Canthium oligocarpum",4032094627,"Mikuvi Forest under Kisongwe Village, E part of forest near Mombwe Subvillage.","TZA",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
38.7,6.23333,"Canthium oligocarpum",1260640733,"About 60 km NW of Kebre Mengist, along the road to Agere Selam, montane forest with Hagenia abyssinica dominant, everywhere heavily grazed.","ETH",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
37.51666,-7.16666,"Canthium oligocarpum",4061364865,"Shikurufumi Forest Reserve, FTEA region T6","TZA",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
37.3,-0.37,"Canthium oligocarpum",912276487,"Mount Kenya Forest, vicinity of First Water Crossing above (1.2miles). Map: Embu North 1:50,000 121/4, Grid Ref. CK 119 599","KEN",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.97,-4.26,"Canthium oligocarpum",912276523,"E side of reserve above Gonja","TZA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.04,-15.4,"Canthium oligocarpum",912493406,"Mt Namuli.","MOZ",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
38.408889,-4.890556,"Canthium oligocarpum",2515814079,"Tanga: Mponde, W. Usambara Mts, Sakare Forest, road Mponde-Magila.","TZA",NA,2011,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
35.331667,-8.533333,"Canthium oligocarpum",2515943797,"Iringa: Mufindi District. Ifwagi Division, Mtwango Ward, Sawala Village Forest.","TZA",NA,2008,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
35.2,-8.33333,"Canthium oligocarpum",3383720471,"T7 Sao hill","TZA",NA,1971,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
31.71667,-7.86667,"Canthium oligocarpum",3383720589,"T4 Mbizi mountain","TZA",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
37.51667,-5.53333,"Canthium oligocarpum",3383720726,"T6 Kilwa road","TZA",NA,1972,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
36.878,-7.81761,"Canthium oligocarpum",3383721231,"T7 Mwanihana forest reserve","TZA",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
