"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-39.47,-12.85,"Chamaecrista belemii",2998289092,"Topo da Serra da Jib ia, em torno, da Torre da Televis o.","BRA",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-38.52,-12.95,"Chamaecrista belemii",2998232628,"Rodovia BR-4, 220km S de Salvador.","BRA",NA,1965,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-40.12,-12.72,"Chamaecrista belemii",2998295115,"Fazenda Suibra, 18km leste da cidade, seguindo a ferrovia.","BRA",NA,1985,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-39.87,-12.9,"Chamaecrista belemii",2998297082,"Morro de Nossa Senhora dos Milagres, just west of Milagres.","BRA",NA,1977,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-38.37,-9.45,"Chamaecrista belemii",2998293178,"Raso da Catarina, carrasco do bordo da Barreira Grande.","BRA",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-41.148889,-9.418333,"Chamaecrista belemii",2237747970,"Entrada cerca 40km de Casa Nova na estrada para Remanso para o Balneário das Dunas de Casa Nova. Dunas de Interiores.","BRA",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-41.005,-11.616111,"Chamaecrista belemii",2237747000,"Lajes, cerca de 20km a oeste de Morro do Chapéu na estrada para Irecê.","BRA",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-41.817778,-9.385556,"Chamaecrista belemii",1090955090,"Cerca de 30 km de Remanso para Casa Nova","BRA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-39.783333,-12.733333,"Chamaecrista belemii",1090955477,"Morro da Quixaba","BRA",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-39.0792,-10.9214,"Chamaecrista belemii",1930584046,"Serra das Candeias, a ca. de 5 km W do Povoado Quixaba do Mandacaru.","BRA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
