"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
145.5,-17.083333,"Chamaecrista exigua",2827155790,"Mareeba Mining Lease, Tinaroo Creek Rd, ca. 15k SE of Mareeba, 9.6k off Kennedy HWY, 1k before Douglas Creek crossing.","AUS",1600,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.283333,-17.216667,"Chamaecrista exigua",2827402521,"Springmount Station, ca 13k from the Mareeba-Dimbulah Rd on the road to Collins Weir.","AUS",1600,1983,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
139.458889,-20.821944,"Chamaecrista exigua",2517088007,"Queensland, Dajarra Rd near Mica Ck, 11.1 km S of Mt.Isa (by air).","AUS",NA,1997,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
144.676123,-18.173466,"Chamaecrista exigua",2418976223,"Yaramulla Station, 100k SSW of Mt.Garnet, on Gulf Development Rd","AUS",2000,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.892786,-17.923468,"Chamaecrista exigua",2418658701,"c 37k SW of Mt.Garnet, on road to Mt.Surprise.","AUS",2000,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
145.801784,-19.357292,"Chamaecrista exigua",2418694445,"11.7km N of Hervey Range Road towards New Moon.","AUS",100,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.331826,-19.334924,"Chamaecrista exigua",2418406011,"500m due W of the Kennedy Developmental Road, on the boundary of Lyndhurst and Oak Park Cattle Stations.","AUS",100,2002,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
143.188889,-16.499468,"Chamaecrista exigua",2418473613,"North of Back Creek and 11km SSE of Highbury Station HS.","AUS",100,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
142.224397,-19.351669,"Chamaecrista exigua",2418534018,"Eastern side of 'Pioneer', about 150km NNE of Julia Creek township.","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
143.740517,-18.29683,"Chamaecrista exigua",2828183501,"Newcastle Range.","AUS",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.327784,-14.818944,"Chamaecrista exigua",2418752671,"Beside the road to Pormpuraaw.","AUS",100,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.6325,-18.250833,"Chamaecrista exigua",2418695579,"Undara NP, quarry site.","AUS",100,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
143.94,-18.549444,"Chamaecrista exigua",2418750378,"19.7km by road towards Forsayth from Einasleigh.","AUS",100,2005,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.892783,-17.356803,"Chamaecrista exigua",2418870726,"Lappa.","AUS",2000,1982,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.876146,-21.540126,"Chamaecrista exigua",2418756635,"Walrus (Western Arid Region Land Utilisation Survey) V, site F325. 12k W of Shirley homestead on Prarie - Armac Rd, just S of Prairie Creek.","AUS",2000,1977,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
143.476933,-14.6591,"Chamaecrista exigua",2828049713,"North of Musgrave.","AUS",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
139.999722,-17.819167,"Chamaecrista exigua",2418658729,"49km east of Burketown on Wernadinga Stn (Gulf site 251).","AUS",100,2003,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
141.976926,-19.351178,"Chamaecrista exigua",2418835217,"Western side of 'Pioneer', c. 142km NNE of Julia Creek.","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
138.459532,-18.723504,"Chamaecrista exigua",2418658408,"ca.5 km SW of Lawn Hill Gorge.","AUS",2000,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
139.718074,-20.957533,"Chamaecrista exigua",2418969008,"Rifle Creek, S of Mt Isa.","AUS",100,2004,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
140.507885,-21.703184,"Chamaecrista exigua",2418593299,"Mount Dore exploration lease, 106km (straight line) due South of Cloncurry, North Queensland.","AUS",100,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.025858,-19.584578,"Chamaecrista exigua",2418524628,"Blackbraes National Park.","AUS",100,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
