"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
136.787846,-12.5015,"Chamaeraphis hordeacea",1633298243,"","AUS",NA,1994,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.579518,-15.358291,"Chamaeraphis hordeacea",2850132052,"","AUS",6,1985,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.086639,-15.151932,"Chamaeraphis hordeacea",1633161474,"Sturt Plateau; Stuart Hwy. E. patellaris woodland. Red earth with lateritic gravel on surface","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.290278,-15.163333,"Chamaeraphis hordeacea",1633069860,"Limmen NP Survey, Field Site No. 146","AUS",20,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.551302,-14.821293,"Chamaeraphis hordeacea",2850127944,"Elsey Station","AUS",NA,1993,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.68344,-14.18121,"Chamaeraphis hordeacea",1633161357,"Nitmiluk. TOW mixed Eucalypts, Syzygium suborbiculare & T. grandiflora over C. latifolius. Eastern Boundary","AUS",7,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.34447,-15.45268,"Chamaeraphis hordeacea",1633069187,"Limmen NP Survey, Field Site No. 105","AUS",20,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.2322,-15.41381,"Chamaeraphis hordeacea",1633067887,"Limmen NP Survey, Field Site No. 33","AUS",20,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.090097,-15.206901,"Chamaeraphis hordeacea",1633066919,"Limmen NP Survey; Field Site No. 108","AUS",5,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.71544,-14.06721,"Chamaeraphis hordeacea",1633112872,"Nitmiluk. LOW E. microtheca, M viridiflora & A. holosericea floodout. Eastern boundary","AUS",5,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.770091,-15.386576,"Chamaeraphis hordeacea",2850165789,"","AUS",6,1985,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.025556,-15.16,"Chamaeraphis hordeacea",2853954177,"Edith River area, railway transect 23.2","AUS",3000,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
136.333333,-16.05,"Chamaeraphis hordeacea",2828123115,"3 miles [4.8 km] N of Borroloola.","AUS",1000,1971,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.083333,-14.3,"Chamaeraphis hordeacea",2829008391,"15 miles N of Katherine, Stuart Highway.","AUS",1000,1965,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
