"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
146.0247,-41.1403,"Cirsium vulgare",2827651780,"E side of Riana Rd, 6 km S of Penguin.","AUS",50,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
149.05,-34.63,"Cirsium vulgare",2827811195,"30 km from Yass towards Berendale, between Blakney Creek and Bloomfield Homestead; along roadside.","AUS",5000,1985,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.73,-35.52,"Cirsium vulgare",1095922762,"Australia. Victoria, Lake Tutchewop.","AUS",NA,2013,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
44.23,14.18,"Cirsium vulgare",2618632556,"Plants from Yemen. Yemen, road between Ibb and Dhamar, 4 km W. of the pass Naqil Sumarah, near the village Helial Sumarah.","YEM",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
31.13,-29.65,"Cirsium vulgare",2618462475,"Plants of South Africa. South Africa. Kwazulu Natal. Umdloti, Umdloti River Bank","ZAF",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
5.81237,50.839821,"Cirsium vulgare",1283626580,"","NLD",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.89233,51.628801,"Cirsium vulgare",1276600236,"","NLD",NA,1985,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.86208,51.808613,"Cirsium vulgare",1277768065,"","NLD",NA,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.20097,52.106071,"Cirsium vulgare",1278748217,"","NLD",NA,1978,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.9903,51.261431,"Cirsium vulgare",1280799486,"","NLD",NA,1983,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.64282,52.942011,"Cirsium vulgare",1280813131,"","NLD",NA,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.98933,52.097513,"Cirsium vulgare",1283980974,"","NLD",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.20622,53.020563,"Cirsium vulgare",1285471422,"","NLD",NA,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.22421,52.842051,"Cirsium vulgare",1275731368,"","NLD",NA,1975,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.69289,51.554161,"Cirsium vulgare",1276240375,"","NLD",NA,1977,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.18557,51.745361,"Cirsium vulgare",1278620438,"","NLD",NA,1984,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.10085,51.406541,"Cirsium vulgare",1281414653,"","NLD",NA,1979,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.0747,51.316351,"Cirsium vulgare",1281638802,"","NLD",NA,1983,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.91174,51.476221,"Cirsium vulgare",1282624294,"","NLD",NA,1978,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.58436,51.381711,"Cirsium vulgare",1283176627,"","NLD",NA,1981,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.82786,51.403211,"Cirsium vulgare",1285206122,"","NLD",NA,1978,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.36487,51.679861,"Cirsium vulgare",1281390440,"","NLD",NA,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.28002,51.723001,"Cirsium vulgare",1282698131,"","NLD",NA,1987,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.55821,53.253091,"Cirsium vulgare",1282750484,"","NLD",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
7.08159,53.303253,"Cirsium vulgare",1286668202,"","NLD",NA,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.5463,53.071761,"Cirsium vulgare",1278878207,"","NLD",NA,1976,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.12297,51.756881,"Cirsium vulgare",1279329937,"","NLD",NA,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.62095,52.562531,"Cirsium vulgare",1280352967,"","NLD",NA,1984,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.6304,52.643453,"Cirsium vulgare",1280643582,"","NLD",NA,1997,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.21911,51.839271,"Cirsium vulgare",1281554746,"","NLD",NA,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.44346,51.316511,"Cirsium vulgare",1283919342,"","NLD",NA,1980,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.09868,52.328291,"Cirsium vulgare",1275392957,"","NLD",NA,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.84911,50.829921,"Cirsium vulgare",1281762077,"","NLD",NA,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.45476,51.388631,"Cirsium vulgare",1282433022,"","NLD",NA,1980,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.77727,50.801741,"Cirsium vulgare",1282517586,"","NLD",NA,1962,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.09678,51.550331,"Cirsium vulgare",1277553764,"","NLD",NA,1984,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.44142,52.184571,"Cirsium vulgare",1280287344,"","NLD",NA,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.56233,51.892451,"Cirsium vulgare",1280354578,"","NLD",NA,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.13614,51.990111,"Cirsium vulgare",1281872929,"","NLD",NA,1986,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.32812,52.821871,"Cirsium vulgare",1282242571,"","NLD",NA,1975,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.64385,51.328681,"Cirsium vulgare",1275860801,"","NLD",NA,1981,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.77923,51.685953,"Cirsium vulgare",1901910127,"","NLD",NA,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.7462,51.960531,"Cirsium vulgare",1278345457,"","NLD",NA,1979,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.44589,53.350231,"Cirsium vulgare",1278334199,"","NLD",NA,1976,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.46072,52.739011,"Cirsium vulgare",1282300434,"","NLD",NA,1974,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.81359,52.977481,"Cirsium vulgare",1283978652,"","NLD",NA,1983,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.79146,52.069953,"Cirsium vulgare",1285712550,"","NLD",NA,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.79009,52.020683,"Cirsium vulgare",1279607237,"","NLD",NA,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.79063,52.329751,"Cirsium vulgare",1280063034,"","NLD",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.18919,51.326571,"Cirsium vulgare",1280680047,"","NLD",NA,1983,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.45654,52.022281,"Cirsium vulgare",1285197551,"","NLD",NA,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.50857,51.827183,"Cirsium vulgare",1276141497,"","NLD",NA,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
3.51993,51.551521,"Cirsium vulgare",1282028503,"","NLD",NA,1976,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.22119,53.378961,"Cirsium vulgare",1280886415,"","NLD",NA,1984,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.22927,51.443841,"Cirsium vulgare",1284149460,"","NLD",NA,1995,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.95221,52.754763,"Cirsium vulgare",1901807957,"","NLD",NA,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.96571,51.755853,"Cirsium vulgare",1286923004,"","NLD",NA,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.90463,51.829661,"Cirsium vulgare",1279201799,"","NLD",NA,1977,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
