"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-80.47,-2.37,"Coccoloba ruiziana",1096723075,"Flora of Ecuador. Guayas: 3 km E of Buenos Aires (km 86 from Guayaquil).","ECU",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_COLLECTION_MISMATCH"
-80.66666,-2.4,"Coccoloba ruiziana",1261453593,"Chanduy. Dune areas with scattered shrubs.","ECU",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-80.67,-2.4,"Coccoloba ruiziana",1096723021,"Flora of Ecuador. Guayas: Chanduy.","ECU",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_COLLECTION_MISMATCH"
-80.65,-1.07,"Coccoloba ruiziana",1096622443,"Manabi: Montecristo, dry savanna, on road to Jaramijo, about 4 km N Montecristo. Flora of Ecuador. 11th Regnellian Expedition.","ECU",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_COLLECTION_MISMATCH"
-80.21666,-2.78333,"Coccoloba ruiziana",4031906258,"Isla Puná. Vicinity of Bellavista. Disturbed savanna and fincas.","ECU",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-79.95,-4.3,"Coccoloba ruiziana",1261453337,"Cantón Sozoranga. Cuesta de San Fernando, al salir a Las Cochas. Bosque seco Montano Bajo. Bosque primario intervenido.","ECU",NA,1989,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-74.14,-9.1839,"Coccoloba ruiziana",1228586657,"Perú","PER",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;AMBIGUOUS_COLLECTION"
-80.83333,-2.18333,"Coccoloba ruiziana",4031801276,"Between Santa Elena and Punta Blanca. Beach and beach ridges.","ECU",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-80.66666,-4.08333,"Coccoloba ruiziana",1261453664,"Casitas Valley on trail to Cerros de Amotape, scrubby dry forest remnants, ca. 10 km SE of Cherrelique.","PER",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-79.93333,-2.73333,"Coccoloba ruiziana",4031499261,"Isla Puná. Path from Puná Nueva to Zapote, mainly at Loma de Corallito. Prosopis-Caesalpinia-savanna with seasonal swamps and salt marshes.","ECU",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-79.106667,-7.981667,"Coccoloba ruiziana",1261451288,"Cerro Campana.","PER",NA,1978,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-79.64138,-4.06388,"Coccoloba ruiziana",1261839092,"Catacocha-Guano-Cariamanga, Km 1.2-4.5. Pastures, hedges and roadside.","ECU",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-80.38333,-2.21666,"Coccoloba ruiziana",1261453642,"El Progreso along road between Salinas and Guayaquil. Dry shrubby vegetation and pastureland.","ECU",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
