"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-104.20375,30.61961,"Cologania pallida",2268970522,"Livermore Ranch, ca. 15 air miles E of State Highway 166 via dirt ranch road and ca. 18 air miles W of Fort Davis, S end of Davis Mountains. Along Jeep trail from lodge to Slick Rock Canyon.","USA",NA,2016,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-104.608333,22.908333,"Cologania pallida",1894528091,"Santa Ma. de Ocotán, alrededores","MEX",70,1986,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-103.03333,28.225,"Cologania pallida",2993510559,"Sierra Santa Fe del Pino, near and just below the highest peaks WNW of Hacebuches and in broad canyon between the two main ridges.","MEX",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-100.983333,25.333333,"Cologania pallida",1895388883,"Cañon de San Lorenzo 5.1 Km (3.2 mi) on a dirt rd E of Hwy 54 (Saltillo-Zacatecas)","MEX",50,1982,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-103.75,30.35,"Cologania pallida",2807282710,"5 air mi. W Alpine.","USA",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-104.01939,30.89033,"Cologania pallida",2807304004,"ca. 0.4 airmiles WNW of Cherry Canyon Ranch HQ, ca. 1.2 airmiles ESE of summit of Buckthorn Mountain, near N end of Cherry Canyon Ranch.","USA",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-103.92283,30.600547,"Cologania pallida",2807314258,"Along Limpia Creek at Davis Mts. State Park, west of Ft. Davis.","USA",NA,1966,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-101.417,25.167,"Cologania pallida",3307829569,"Sierra Pilote de Fierro, Ejido La Casita","MEX",50,1993,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-109.032,28.37167,"Cologania pallida",3308607713,"Microwave tower on noth edge of Mesa del Campanero","MEX",60,1998,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-104.80413,31.975567,"Cologania pallida",1930164281,"Guadalupe Mountains National Park, McKittrick Ridge","USA",NA,1988,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
