"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
12.64909,-0.8816,"Copaifera mildbraedii",4061307724,"TR-IDU 2-B. Route nationale 3, tronçon Carrefour Mikouyi-Booué, à environ 6 km de Mikouyi.","GAB",NA,2020,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
9.880722,-1.929112,"Copaifera mildbraedii",4031362100,"Rabi (parcelle Smithsonian).","GAB",NA,2014,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
16.11666,2.41666,"Copaifera mildbraedii",1261871042,"Dzanga-Sangha Reserve. NDAKAN to NYANGOUTE. Gilbertiodendron dewevrei forest. Precp. 1400 m.","CAF",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
9,4.772,"Copaifera mildbraedii",1806495949,"Cameroon, Rumpi Hills Forest Reserve, Ndian Division. Munyange","CMR",NA,2015,"HUMAN_OBSERVATION","TAXON_MATCH_HIGHERRANK"
16.15,2.63333,"Copaifera mildbraedii",4060883780,"7 km SE of Lidjombo, on Likumbi stream from Nja to Njambongo.","CAF",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
12.866185,-1.213685,"Copaifera mildbraedii",3946788448,"Concession EGG, bloc de Matsatsa (CFAD EGG Vert).","GAB",NA,2021,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
13.2,-1.25,"Copaifera mildbraedii",2516123014,"5-10km W of Boungou-Madouma Railway Station.","GAB",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
12.80295,0.5044,"Copaifera mildbraedii",2013832581,"","GAB",NA,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
12.047772,0.416111,"Copaifera mildbraedii",2013832684,"","GAB",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
10.617949,0.48594,"Copaifera mildbraedii",2013831837,"","GAB",NA,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
13.73054,-1.3987,"Copaifera mildbraedii",2013828776,"","GAB",NA,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
10.510187,-1.591738,"Copaifera mildbraedii",2013834702,"","GAB",NA,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
11.427948,-1.417651,"Copaifera mildbraedii",2013827784,"","GAB",NA,2018,"HUMAN_OBSERVATION","RECORDED_DATE_INVALID;CONTINENT_DERIVED_FROM_COORDINATES"
11.896063,2.164249,"Copaifera mildbraedii",2013830131,"","GAB",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
16.2,2.38333,"Copaifera mildbraedii",1261866937,"Ndakan, gorilla study area; on transect from M5250, at 330º. Precp. 1400mm. Lowland forest with Entandrophragma spp., Sterculiaceae and Megaphrynium macrostachyum.","CAF",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
25.216667,0.766667,"Copaifera mildbraedii",2517819448,"23km along road from Kisangani to Bengamisa.","COD",NA,1973,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
12.883333,-0.75,"Copaifera mildbraedii",2515945714,"c. 20 km NE of Lastoursville.","GAB",NA,1999,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
10.116667,-0.883333,"Copaifera mildbraedii",2517851612,"Evaro lake, on border and surroundings of the border of Rondani island.","GAB",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
8.95,5.25,"Copaifera mildbraedii",2515846554,"near Chimpanzee Camp, Korup National Park.","CMR",NA,1997,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
10.28333,-1,"Copaifera mildbraedii",1261461677,"SW of Lambaréné, near Lake Ezanga; Conoco drilling site; forest along edge of lake.","GAB",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
