"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
18.75,-32.92,"Corymbium glabrum",2618543840,"Flora of South Africa. Cape Province. Piquetberg Div., Lower E slopes of the Piquetberg, just above Piquetberg village.","ZAF",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
19.12,-34.28,"Corymbium glabrum",2618547817,"Flora of South Africa. C. P. 3419 AB Caledon. Caledon Div., S slopes of mtn. between Heuningklip and Highlands Forest Reserve.","ZAF",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.411083,-33.994028,"Corymbium glabrum",1838058492,"","ZAF",1,2012,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.263192,-34.398267,"Corymbium glabrum",2518019029,"","ZAF",86,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.036323,-33.986789,"Corymbium glabrum",3466233669,"","ZAF",8,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.421139,-34.090797,"Corymbium glabrum",1338471708,"Silver Mine Nature Reserve","ZAF",250,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
18.830826,-34.349545,"Corymbium glabrum",3994228965,"","ZAF",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.03462,-33.80985,"Corymbium glabrum",2251931038,"","ZAF",5,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.41617,-33.84116,"Corymbium glabrum",1836657718,"","ZAF",10,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.532652,-33.334265,"Corymbium glabrum",3018141858,"","ZAF",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.821186,-33.974633,"Corymbium glabrum",4039129749,"","ZAF",NA,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.454301,-34.380243,"Corymbium glabrum",3994082001,"","ZAF",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.601045,-34.698975,"Corymbium glabrum",3466240645,"","ZAF",6,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.884747,-34.481133,"Corymbium glabrum",3773548359,"","ZAF",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.71333,-33.78414,"Corymbium glabrum",1847605885,"","ZAF",2,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
23.27615,-34.09785,"Corymbium glabrum",1838405801,"","ZAF",1,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.220745,-33.956718,"Corymbium glabrum",3772907681,"","ZAF",10,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
18.961356,-34.314944,"Corymbium glabrum",2573978208,"","ZAF",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.303293,-34.421352,"Corymbium glabrum",2988457463,"","ZAF",81,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.327578,-33.238574,"Corymbium glabrum",3466007339,"","ZAF",3,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.327105,-34.145411,"Corymbium glabrum",3994308077,"","ZAF",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.085535,-34.105714,"Corymbium glabrum",2626182582,"","ZAF",10,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.028036,-34.055479,"Corymbium glabrum",3466106442,"","ZAF",132,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.04909,-33.35173,"Corymbium glabrum",1838405602,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
23.15275,-33.906568,"Corymbium glabrum",3963615398,"","ZAF",3,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.31328,-33.87803,"Corymbium glabrum",1839219296,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.341737,-33.946066,"Corymbium glabrum",3013912630,"","ZAF",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
