"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
15.05,8.116667,"Crotalaria confusa",1948879012,"","CMR",NA,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
13.55,9.166667,"Crotalaria confusa",1948876975,"","CMR",NA,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
13.566667,9.133333,"Crotalaria confusa",1948878054,"","CMR",NA,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
14.216667,10.366667,"Crotalaria confusa",1948882278,"","CMR",NA,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
12.408333,9.358333,"Crotalaria confusa",2515820702,"20 km W of Dong.","NGA",NA,1965,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
14.733333,11.066667,"Crotalaria confusa",2515777717,"Reserve de Waza, c. 40 km S. of Waza.","CMR",NA,1964,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-4.216667,11.166667,"Crotalaria confusa",2517383167,"10 km E of Bobo - Dioulasso.","BFA",NA,1967,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
13.4,9.266667,"Crotalaria confusa",2517359105,"c. 3 km S. of Garoua.","CMR",NA,1964,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
1.2,7,"Crotalaria confusa",1898353280,"Piste vers le sud, Notse-Tohoun","TGO",6.4,1983,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
0.2,10.9,"Crotalaria confusa",1898353150,"8km SE de Pana","TGO",6.4,1983,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.366667,11.766667,"Crotalaria confusa",1424793225,"Bodjékali","BEN",NA,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
3.5,10.416667,"Crotalaria confusa",1839404824,"Province du Borgou, district de Kalalé, Kalalé","BEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-12.316,12.366,"Crotalaria confusa",47751266,"Dindéfello. Trail to the waterfall. Gallery forest with Ceiba pentandra along permanent stream.","SEN",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-0.316,11.716,"Crotalaria confusa",47751324,"Some km SE of Tenkodogo. Fallow vegetation dominated by Piliostigma and seasonally inundated grass-land on poor soils.","BFA",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
3.333333,10.266667,"Crotalaria confusa",1839404853,"Kalalé","BEN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
14.55,11.333333,"Crotalaria confusa",2517393760,"Waza National Park, W of Bodelaram.","CMR",NA,1974,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
