"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
33.33333,-8.9,"Crotalaria natalitia",4061469391,"Base of Pungaluma Hills. Parinari woodland.","TZA",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
35.83333,-4.73333,"Crotalaria natalitia",1260896141,"North - East, along the Kondoa - Arusha road. Kolo village, Choka. Along the seasonal stream banks","TZA",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
33.33,-8.83,"Crotalaria natalitia",3776333489,"Tanzania, Mbeya, Mbeya Rural District. Below ridge running northwest from Mbeya peak.","TZA",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
42.02,9.4,"Crotalaria natalitia",1563348516,"Harar Prov., college area, NE of Lake Alemaya (Haramala), ca. 15 km. NW of Harar, rolling hills with extensive cultivation.","ETH",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
35.62,-8.61,"Crotalaria natalitia",3776335536,"Tanzania, Iringa, Mufindi District. T7. Lulanda Escarpment.","TZA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
36.1,-3.43,"Crotalaria natalitia",3776350448,"Tanzania, Arusha, Monduli District. T2. Essimingori Forest Reserve, dry montane forest, S edge of forest.","TZA",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
35.33333,-15.36666,"Crotalaria natalitia",1260900415,"Zomba Dist.: Old Naisi road, roadside","MWI",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
37.75,-7.16666,"Crotalaria natalitia",4031489238,"Kasanga Forest Reserve, FTEA region T6","TZA",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
29.933333,-1.95,"Crotalaria natalitia",1260900174,"Runda (pref. Gitarama), a 15km env. Gekigali, savane ruderalisee","RWA",NA,1974,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
30.593405,-30.276265,"Crotalaria natalitia",3963676640,"","ZAF",500,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
