"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
22.12688,-33.91416,"Cullumia aculeata",3858391081,"","ZAF",3,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
20.875945,-33.91874,"Cullumia aculeata",1838393369,"","ZAF",1,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.73891,-33.88984,"Cullumia aculeata",2579246236,"","ZAF",5,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.929708,-34.069711,"Cullumia aculeata",2813882672,"","ZAF",1447,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.21194,-33.92694,"Cullumia aculeata",2818771317,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.233849,-34.042867,"Cullumia aculeata",2850991533,"","ZAF",174,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.19,-33.92,"Cullumia aculeata",1838336007,"","ZAF",1100,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.8968,-33.85609,"Cullumia aculeata",2597690677,"","ZAF",3,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
20.774512,-33.991818,"Cullumia aculeata",2818703309,"","ZAF",1,2012,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.9,-33.88333,"Cullumia aculeata",1261298538,"Paardekop, Attaquaskloof. N slope rock cover. Vegetation cover 60-65%; height 40 cm burnt 2-3 years ago.","ZAF",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
20.95348,-34.000321,"Cullumia aculeata",2814206358,"","ZAF",31,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.54352,-33.97121,"Cullumia aculeata",3061617015,"","ZAF",10,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.900981,-33.82603,"Cullumia aculeata",2596220829,"","ZAF",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.0744,-33.9297,"Cullumia aculeata",1321373035,"Western Cape; NW of Riversdale, Farm Kanetberg","ZAF",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
21.48065,-33.97087,"Cullumia aculeata",2813911472,"","ZAF",NA,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
