"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
27.178033,-25.713265,"Cussonia paniculata",3384365415,"","ZAF",1406,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.64464,-33.51508,"Cussonia paniculata",1838057125,"","ZAF",1,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.829747,-25.978495,"Cussonia paniculata",3355518346,"","ZAF",1152,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.9308,-28.6883,"Cussonia paniculata",1320226528,"KwaZulu Natal Province, Royal Natal National Park, near Lookout Rock.","ZAF",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
29.231944,-28.948889,"Cussonia paniculata",3408002170,"","ZAF",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.213619,-26.49631,"Cussonia paniculata",3070729177,"","ZAF",4802,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
24.49261,-32.26659,"Cussonia paniculata",1839219762,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.95434,-25.81075,"Cussonia paniculata",2813878472,"","ZAF",5,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.840857,-25.916359,"Cussonia paniculata",3355282436,"","ZAF",1036,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.982486,-32.13825,"Cussonia paniculata",4011499509,"","ZAF",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.197826,-26.518124,"Cussonia paniculata",3355079459,"","ZAF",2749,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.833398,-32.490519,"Cussonia paniculata",3743181618,"","ZAF",20,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.189276,-25.030913,"Cussonia paniculata",3903273004,"","ZAF",15,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
25.464704,-32.238179,"Cussonia paniculata",3031759989,"","ZAF",61,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.572725,-29.143769,"Cussonia paniculata",4018204231,"","ZAF",1626,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.5167,-26.4833,"Cussonia paniculata",2422756624,"","ZAF",1,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.356894,-25.83289,"Cussonia paniculata",2422828092,"","ZAF",1000,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.510807,-28.482038,"Cussonia paniculata",4009891644,"","ZAF",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
25.66656,-32.13252,"Cussonia paniculata",2597919053,"","ZAF",5,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.121464,-32.541062,"Cussonia paniculata",3118492581,"","ZAF",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.763253,-25.753446,"Cussonia paniculata",3456998225,"","ZAF",256,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.78221,-26.055272,"Cussonia paniculata",2802943772,"","ZAF",1,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.71878,-33.59069,"Cussonia paniculata",1838057093,"","ZAF",1,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.415845,-28.5096,"Cussonia paniculata",2423220907,"","ZAF",4,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.343255,-33.64824,"Cussonia paniculata",3912289188,"","ZAF",244,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.780731,-32.575555,"Cussonia paniculata",3044824698,"","ZAF",5,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.150392,-25.220375,"Cussonia paniculata",3109063319,"","ZAF",16,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.347616,-25.568749,"Cussonia paniculata",4006665964,"","ZAF",185,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.418314,-25.848157,"Cussonia paniculata",2397696719,"","ZAF",1161,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.165717,-25.498615,"Cussonia paniculata",4067482328,"","ZAF",2281,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.799381,-24.467417,"Cussonia paniculata",4009895623,"","ZAF",304,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.47705,-25.432755,"Cussonia paniculata",4018618449,"","ZAF",5,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.31487,-25.761525,"Cussonia paniculata",3112870397,"","ZAF",1085,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.503919,-25.853164,"Cussonia paniculata",3384649386,"","ZAF",2282,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.92197,-33.73924,"Cussonia paniculata",1990553468,"","ZAF",4,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.999365,-33.762353,"Cussonia paniculata",3468949568,"","ZAF",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.343056,-29.079444,"Cussonia paniculata",3391297105,"","ZAF",1896,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.546451,-25.820812,"Cussonia paniculata",2397680336,"","ZAF",2488,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.41839,-25.912524,"Cussonia paniculata",3772962365,"","ZAF",2,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.436067,-26.625538,"Cussonia paniculata",3337731454,"","ZAF",4,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.114682,-32.363469,"Cussonia paniculata",3039162115,"","ZAF",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.279896,-26.479377,"Cussonia paniculata",4039181049,"","ZAF",10,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.460394,-24.026268,"Cussonia paniculata",3912150929,"","ZAF",15,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.98,-30.92,"Cussonia paniculata",912248868,"Kokstad, 3029CA. Mount Frere","ZAF",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
29.81,-23.93,"Cussonia paniculata",912248949,"2329DD Pietersburg. 9M W of Haenertsburg","ZAF",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
29.487553,-28.661643,"Cussonia paniculata",3949758714,"","ZAF",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
26.5253,-25.662212,"Cussonia paniculata",2311390915,"","ZAF",3270,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
24.257185,-32.349541,"Cussonia paniculata",3988631275,"","ZAF",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.32833,-31.405497,"Cussonia paniculata",3764181478,"","ZAF",9,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.892443,-26.033036,"Cussonia paniculata",3355510391,"","ZAF",1617,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.262655,-25.95745,"Cussonia paniculata",2814126518,"","ZAF",703,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.914413,-25.76196,"Cussonia paniculata",3953252106,"","ZAF",11,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
175.035359,-39.912276,"Cussonia paniculata",1091316218,"","NZL",NA,2012,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
29.996528,-25.484417,"Cussonia paniculata",3061585990,"","ZAF",4,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.934672,-25.546978,"Cussonia paniculata",2265842290,"","ZAF",8,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.959444,-32.591111,"Cussonia paniculata",4061088815,"Amatole Mountains, along path to Kettlespout Waterfall.","ZAF",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
28.237313,-25.887342,"Cussonia paniculata",3456749838,"","ZAF",4,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.412728,-33.591727,"Cussonia paniculata",2609101125,"","ZAF",95,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.364512,-25.820588,"Cussonia paniculata",2980995082,"","ZAF",67,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
