"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
38.53333,-6.81666,"Cynometra webberi",4061075237,"Uzaramo District: 88 km. W. of Dar es Salaam on Morogoro road","TZA",NA,1951,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
38.6,-6.15,"Cynometra webberi",4060866386,"","TZA",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
38.75,-6.31666,"Cynometra webberi",1260042753,"T6. Matipwili Village, Kisampa Sanctuary, near Chasa Peak, wooded grassland, transect #1, plot #8.","TZA",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
39.01666,-5.1,"Cynometra webberi",4061659948,"Steinbruch Gorge","TZA",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.26666,-4.33333,"Cynometra webberi",1260420829,"Shimba Hills. Mkongani West. Lowland forest much destroyed by elephant w Combretum schumannii, Drypetes, Scorodophloeus, Julbernardia, Pachystela & Hyphaene grassland outside","KEN",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
38.93333,-5.33333,"Cynometra webberi",1260350414,"Mivumoni Forest, Pangani coastal forest stream valleys on hard sand soils. Predominant species. Economical used as building poles.","TZA",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
38.72611,-4.91444,"Cynometra webberi",4061701084,"East Usambara Mountains, Kwemnyese public forest patch (Kwamtili), in Kuze Kibago Village, E part of forest.","TZA",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.51666,-4.31666,"Cynometra webberi",4061793498,"Kaya Muhaka. .","KEN",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.86666,-3.33333,"Cynometra webberi",1260350410,"K7. Arabuko-Sokoko forest, Jalare track.","KEN",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.53333,-4.01666,"Cynometra webberi",4061780568,"Kwale Distr., Mwachi Forest, S end near bridge across Mwachi River. Habitats: 1) Mangrove swamp with Rhizophora, Ceriops, Suaeda, Avicennia, Pemphis and Xylocarpus 2) Dense thickets on steep slope.","KEN",NA,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.71666,-3.53333,"Cynometra webberi",1260420823,"Nr Ganze. .","KEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.6,-3.9,"Cynometra webberi",4062098281,"Kaya Rabai. Kombeni River.","KEN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.24805,-9.1175,"Cynometra webberi",1260621239,"Namatimbili Forest. Legume dominated forest on coral rag. Dominant species: Scorodophloeus, Cynometra, Cordyla africana.","TZA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.73333,-3.26666,"Cynometra webberi",1260420815,"Mangea. .","KEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.93333,-3.13333,"Cynometra webberi",1260420826,"Kaya Bura. .","KEN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.55,-3.533333,"Cynometra webberi",2515946096,"along the road to Bamba, 12 km W of Ganze.","KEN",NA,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
37.08333,-8.41666,"Cynometra webberi",1260621244,"Selous Game Reserve, ca. 15 km S of Mlahi. Riverine forest along Kilombero River.","TZA",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
38.78333,-6.03333,"Cynometra webberi",1261505397,"Kiono Forest Reserve. Forest.","TZA",NA,1989,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
38.56666,-6.28333,"Cynometra webberi",4062026733,"T6. Zaraninge Forest Reserve, near WWF office, Gongo Village, behind Mr. Siasa's House.","TZA",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.7,-3.71666,"Cynometra webberi",1260420806,"Cha Simba. Jurassic Limestone outcrop with Pandanus rabaiensis, Euphorbia wakefieldii, Gyrocarpus americanus, Ficus wakefieldii, Cola octoloboides,","KEN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
