"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
48.318333,-18.865833,"Cyperus psammophilus",1260156794,"Moramanga, Andasibe, Menalamba. Near Behontsa village, Ambatovy forest. Récolté avec R. Andriamiarisoa & Félix (guide).","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.263889,-15.106389,"Cyperus psammophilus",2806569582,"District de Befandriana Nord, Commune de Morafeno, Fokontany d' Ankobakoba, Ambatomitsondrona. Collecte avec Stephan Porembski et Colas (guide).","MDG",NA,2020,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.383333,-15.616667,"Cyperus psammophilus",1212473414,"F","MDG",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.485278,-20.762222,"Cyperus psammophilus",1259135043,"Nosy Varika, Ambahy. Forêt littorale de basse altitude. Récolté avec Raymond Rabevohitra, Thierry Rakotomamonjy & Gaspard.","MDG",NA,2003,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
50.090278,-13.712778,"Cyperus psammophilus",4031543467,"Fivondronana: Vohémar, Firaisana: Tsarabaria, Fokontany: Manakana. Forêt littorale d'Ambondrobe. Echantillon préservé en alcool.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.55416,-20.3725,"Cyperus psammophilus",4061454101,"Fivondronana: Mahanoro, Firaisana: Ambodibonara, Fokontany: Ambalavontaka. Forêt littorale d'Antaimby. Echantillon préservé en alcool. Récolté avec R. Ranaivojaona & Velomahatratra.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.356388,-15.669722,"Cyperus psammophilus",2243254489,"Mahajanga, Mahajanga II, Antsianitia, 20 km N of Mahajanga","MDG",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
44.475278,-18.034167,"Cyperus psammophilus",2268875241,"Beanka, partie sud. Anadabomanambaditsingilo","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.471389,-13.118889,"Cyperus psammophilus",1257980479,"Daraina, forêt d'Ambohitsitondroina.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.25,-19.583333,"Cyperus psammophilus",1257645158,"Antananarivo province: 1 Km east of Vitiabe at PK 108 on Antsirabe-Morondavia road: on shallow soli over rock-outcrops.","MDG",NA,1995,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
