"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-86.332246,36.092255,"Dalea gattingeri",3456125869,"","USA",2,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-91.72,36.51,"Dalea gattingeri",1260978513,"Protected due to name conservation status","USA",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-87.39,34.45,"Dalea gattingeri",4032111589,"Protected due to name conservation status","USA",NA,2016,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-86.533575,36.102856,"Dalea gattingeri",3415828701,"","USA",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-86.303485,35.855179,"Dalea gattingeri",2603328319,"","USA",16,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-87.505739,34.516246,"Dalea gattingeri",3858582136,"","USA",56,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-85.233462,34.942437,"Dalea gattingeri",4039243622,"","USA",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-86.92122,35.541562,"Dalea gattingeri",2540719348,"","USA",6,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-92.042523,36.365811,"Dalea gattingeri",4062653450,"","USA",22,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-86.227078,35.819476,"Dalea gattingeri",2265870935,"","USA",251,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-86.368662,36.028736,"Dalea gattingeri",3118192618,"","USA",4,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-87.693105,34.5511,"Dalea gattingeri",3331189118,"Ca. 2 min. n. Russellville; disturbed limestone glade","USA",5000,1968,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-86.2908,36.2078,"Dalea gattingeri",1928775595,"SE of Lebanon.","USA",NA,1969,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-100.082722,37.262722,"Dalea gattingeri",3695178327,"T32S R25W S18","USA",1128,1989,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-86.767219,33.184574,"Dalea gattingeri",3947322388,"","USA",256,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
