"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-105.4178,23.7764,"Dalea thouinii",1928961712,"3½ miles west of El Salto","MEX",NA,1965,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-100.121,19.11861,"Dalea thouinii",3308150897,"Avándaro, Cerro Gordo Lugar dentro del Rancho: Cerro de la Troje","MEX",90,2011,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-102.049167,19.776389,"Dalea thouinii",2629750493,"Santa Cruz Tanaco, 5 km al NE","MEX",NA,1987,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-99.0997,18.9853,"Dalea thouinii",1930265442,"Volcanic knobs S. of the village of Tepoztlan","MEX",NA,1966,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-105.7239,23.7114,"Dalea thouinii",1930225201,"W. slope of Sierra Madre at Pto. Buenos Aires, 34 mi. west of El Salto on Mazatlan highway","MEX",NA,1965,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-99.2144,19.0631,"Dalea thouinii",1928576123,"Serrania de Ajusco near Tres Cumbres","MEX",NA,1966,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-101.536667,19.4,"Dalea thouinii",1893655877,"La Laguna, cerca de San Gregorio","MEX",90,1985,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-99.225833,18.779722,"Dalea thouinii",1893655889,"4 KM AL SW DE XOCHITEPEC, MPIO. DE XOCHITEPEC","MEX",90,1980,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-102.208878,19.463182,"Dalea thouinii",1893655888,"JURITZICUARO, MPIO. NUEVO PARANGARICUTIRO, MICH.","MEX",50,1995,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-98.78,19.171667,"Dalea thouinii",1893655874,"1 KM AL E DE SANTO TOMAS DE ATZINGO, MPIO. TLALMANALCO, EDO DE MEX.","MEX",90,1981,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
