"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
116.1,-32.3,"Daviesia decurrens",2464998531,"","AUS",NA,2005,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES"
115.75,-31.6833,"Daviesia decurrens",2436388796,"Wanneroo to Yanchep Road, near Neerabup National Park.","AUS",1000,1984,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.55,-32.2833,"Daviesia decurrens",2437128785,"58km SE of Kelmscott along Brookton Hwy.","AUS",1000,1980,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.1667,-32,"Daviesia decurrens",2437528564,"Darling Range. Mundaring Weir road, S side of reservoir.","AUS",1000,1984,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.036546,-31.625672,"Daviesia decurrens",3335101585,"","AUS",99,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
115.362633,-30.24079,"Daviesia decurrens",3963444627,"","AUS",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
116.036868,-32.01907,"Daviesia decurrens",3881438541,"","AUS",31,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
116.200678,-31.905969,"Daviesia decurrens",3321039564,"","AUS",8,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
115.097641,-33.671711,"Daviesia decurrens",3325561074,"","AUS",165,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
116.583246,-34.184159,"Daviesia decurrens",3456703422,"","AUS",244,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
116.410523,-31.790277,"Daviesia decurrens",3335358441,"","AUS",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
116.144181,-31.893187,"Daviesia decurrens",3860632827,"","AUS",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
117.416667,-31.983333,"Daviesia decurrens",2830750766,"4 km N of Quairading along road to Tammin.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.293333,-30.396944,"Daviesia decurrens",2830510698,"20 km from Brand Highway along Cadda Road towards Cervantes.","AUS",1000,1997,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.183333,-33.7,"Daviesia decurrens",2827667329,"Warren district; 18 km from Busselton along road to Margaret River, 1 km S of Carbunup River.","AUS",1000,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.216667,-31.5,"Daviesia decurrens",2830061582,"26 km W of Toodyay along road to Chittering.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.716667,-31.116667,"Daviesia decurrens",2830570329,"56 km N of Muchea along Brand Highway.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.983333,-30.966667,"Daviesia decurrens",2830645823,"Wattengutten Hill, 27.5 km ESE of Wongan Hills town.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.4,-32,"Daviesia decurrens",2829086711,"Quairading, town limit on road to Tammin.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.566667,-31.933333,"Daviesia decurrens",2828277534,"0.3 km W of Quinkitchmunging, on Helena Road, ca 19.5 km WSW of York.","AUS",1000,1996,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.516667,-30.25,"Daviesia decurrens",2829501498,"125 km SW of Coorow; on side-road (Wilcocks Road) off Green Head Rd.","AUS",1000,1978,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.979722,-32.615556,"Daviesia decurrens",2830713280,"4 km NNE of Pinjarra.","AUS",50,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.983333,-31.5,"Daviesia decurrens",2830651002,"N of Perth on Geraldton Highway.","AUS",1000,1977,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
